mp_ref	mp	term_ref	term	constituency_ref	constituency	party_ref	party	start	election_ref	election	end	cause_ref	cause
<http://www.wikidata.org/entity/Q106618>	Henry Campbell-Bannerman	<http://www.wikidata.org/entity/Q21084439>	22nd United Kingdom Parliament	<http://www.wikidata.org/entity/Q7617564>	Stirling Burghs	<http://www.wikidata.org/entity/Q622441>	Liberal Party	1880-03-31	<http://www.wikidata.org/entity/Q2074515>	1880 United Kingdom general election	1885-11-18	<http://www.wikidata.org/entity/Q741182>	dissolution of parliament
<http://www.wikidata.org/entity/Q1101328>	John Rolls, 1st Baron Llangattock	<http://www.wikidata.org/entity/Q21084439>	22nd United Kingdom Parliament	<http://www.wikidata.org/entity/Q6901156>	Monmouthshire		nan	1880-03-31	<http://www.wikidata.org/entity/Q2074515>	1880 United Kingdom general election	1885-11-18	<http://www.wikidata.org/entity/Q741182>	dissolution of parliament
<http://www.wikidata.org/entity/Q1147508>	Evelyn Ashley	<http://www.wikidata.org/entity/Q21084439>	22nd United Kingdom Parliament	<http://www.wikidata.org/entity/Q650377>	Isle of Wight		nan	1880-03-31	<http://www.wikidata.org/entity/Q2074515>	1880 United Kingdom general election	1885-11-18	<http://www.wikidata.org/entity/Q741182>	dissolution of parliament
<http://www.wikidata.org/entity/Q11708915>	Henry James, 1st Baron James of Hereford	<http://www.wikidata.org/entity/Q21084439>	22nd United Kingdom Parliament	<http://www.wikidata.org/entity/Q56185621>	Taunton	<http://www.wikidata.org/entity/Q622441>	Liberal Party	1880-03-31	<http://www.wikidata.org/entity/Q2074515>	1880 United Kingdom general election	1885-11-18	<http://www.wikidata.org/entity/Q741182>	dissolution of parliament
<http://www.wikidata.org/entity/Q11800905>	John Tremayne	<http://www.wikidata.org/entity/Q21084439>	22nd United Kingdom Parliament	<http://www.wikidata.org/entity/Q7567036>	South Devon		nan	1884-08-13	<http://www.wikidata.org/entity/Q7864918>	UK Parliamentary by-election	1885-11-18	<http://www.wikidata.org/entity/Q741182>	dissolution of parliament
<http://www.wikidata.org/entity/Q11803265>	Sir John Whittaker Ellis, 1st Baronet	<http://www.wikidata.org/entity/Q21084439>	22nd United Kingdom Parliament	<http://www.wikidata.org/entity/Q6841016>	Mid Surrey	<http://www.wikidata.org/entity/Q9626>	Conservative Party	1884-06-23	<http://www.wikidata.org/entity/Q7864918>	UK Parliamentary by-election	1885-11-18	<http://www.wikidata.org/entity/Q741182>	dissolution of parliament
<http://www.wikidata.org/entity/Q11803680>	John Brinton	<http://www.wikidata.org/entity/Q21084439>	22nd United Kingdom Parliament	<http://www.wikidata.org/entity/Q11797258>	Kidderminster		nan	1880-03-31	<http://www.wikidata.org/entity/Q2074515>	1880 United Kingdom general election	1885-11-18	<http://www.wikidata.org/entity/Q741182>	dissolution of parliament
<http://www.wikidata.org/entity/Q11803853>	Sir John Ramsden, 5th Baronet	<http://www.wikidata.org/entity/Q21084439>	22nd United Kingdom Parliament	<http://www.wikidata.org/entity/Q5330571>	Eastern West Riding of Yorkshire		nan	1880-03-31	<http://www.wikidata.org/entity/Q2074515>	1880 United Kingdom general election	1885-11-18	<http://www.wikidata.org/entity/Q741182>	dissolution of parliament
<http://www.wikidata.org/entity/Q11806930>	Robert Jardine	<http://www.wikidata.org/entity/Q21084439>	22nd United Kingdom Parliament	<http://www.wikidata.org/entity/Q5313811>	Dumfriesshire		nan	1880-03-31	<http://www.wikidata.org/entity/Q2074515>	1880 United Kingdom general election	1885-11-18	<http://www.wikidata.org/entity/Q741182>	dissolution of parliament
<http://www.wikidata.org/entity/Q12064625>	Thomas Power O'Connor	<http://www.wikidata.org/entity/Q21084439>	22nd United Kingdom Parliament	<http://www.wikidata.org/entity/Q56166294>	Galway Borough		nan	1880-03-31	<http://www.wikidata.org/entity/Q2074515>	1880 United Kingdom general election	1885-11-18	<http://www.wikidata.org/entity/Q741182>	dissolution of parliament
<http://www.wikidata.org/entity/Q12066246>	Henry Portman, 2nd Viscount Portman	<http://www.wikidata.org/entity/Q21084439>	22nd United Kingdom Parliament	<http://www.wikidata.org/entity/Q5298834>	Dorset		nan	1880-03-31	<http://www.wikidata.org/entity/Q2074515>	1880 United Kingdom general election	1885-11-18	<http://www.wikidata.org/entity/Q741182>	dissolution of parliament
