mp_ref	mp	term_ref	term	constituency_ref	constituency	party_ref	party	start	election_ref	election	end	cause_ref	cause
<http://www.wikidata.org/entity/Q11309157>	James Duff, 5th Earl Fife	<http://www.wikidata.org/entity/Q21084434>	17th United Kingdom Parliament	<http://www.wikidata.org/entity/Q4854880>	Banffshire		nan	1857-03-27	<http://www.wikidata.org/entity/Q4345446>	1857 United Kingdom general election	1857-06-10	<http://www.wikidata.org/entity/Q796919>	resignation
<http://www.wikidata.org/entity/Q1141134>	Isaac Butt	<http://www.wikidata.org/entity/Q21084434>	17th United Kingdom Parliament	<http://www.wikidata.org/entity/Q8057743>	Youghal		nan	1857-03-27	<http://www.wikidata.org/entity/Q4345446>	1857 United Kingdom general election	1859-04-23	<http://www.wikidata.org/entity/Q741182>	dissolution of parliament
<http://www.wikidata.org/entity/Q11801484>	John Gurdon Rebow	<http://www.wikidata.org/entity/Q21084434>	17th United Kingdom Parliament	<http://www.wikidata.org/entity/Q56189401>	Colchester	<http://www.wikidata.org/entity/Q622441>	Liberal Party	1857-03-27	<http://www.wikidata.org/entity/Q4345446>	1857 United Kingdom general election	1859-04-23	<http://www.wikidata.org/entity/Q741182>	dissolution of parliament
<http://www.wikidata.org/entity/Q11801938>	Sir Edward Dering, 8th Baronet	<http://www.wikidata.org/entity/Q21084434>	17th United Kingdom Parliament	<http://www.wikidata.org/entity/Q5328697>	East Kent		nan	1857-03-27	<http://www.wikidata.org/entity/Q4345446>	1857 United Kingdom general election	1857-12-01	<http://www.wikidata.org/entity/Q796919>	resignation
<http://www.wikidata.org/entity/Q11802984>	Robert Aglionby Slaney	<http://www.wikidata.org/entity/Q21084434>	17th United Kingdom Parliament	<http://www.wikidata.org/entity/Q56185616>	Shrewsbury		nan	1857-03-27	<http://www.wikidata.org/entity/Q4345446>	1857 United Kingdom general election	1859-04-23	<http://www.wikidata.org/entity/Q741182>	dissolution of parliament
<http://www.wikidata.org/entity/Q11803195>	John Henniker-Major, 4th Baron Henniker	<http://www.wikidata.org/entity/Q21084434>	17th United Kingdom Parliament	<http://www.wikidata.org/entity/Q5329450>	East Suffolk		nan	1857-03-27	<http://www.wikidata.org/entity/Q4345446>	1857 United Kingdom general election	1859-04-23	<http://www.wikidata.org/entity/Q741182>	dissolution of parliament
<http://www.wikidata.org/entity/Q11803653>	Sir Michael Shaw-Stewart, 7th Baronet	<http://www.wikidata.org/entity/Q21084434>	17th United Kingdom Parliament	<http://www.wikidata.org/entity/Q7313180>	Renfrewshire		nan	1857-03-27	<http://www.wikidata.org/entity/Q4345446>	1857 United Kingdom general election	1859-04-23	<http://www.wikidata.org/entity/Q741182>	dissolution of parliament
<http://www.wikidata.org/entity/Q11803732>	Sir Thomas Winnington, 4th Baronet	<http://www.wikidata.org/entity/Q21084434>	17th United Kingdom Parliament	<http://www.wikidata.org/entity/Q4899742>	Bewdley		nan	1857-03-27	<http://www.wikidata.org/entity/Q4345446>	1857 United Kingdom general election	1859-04-23	<http://www.wikidata.org/entity/Q741182>	dissolution of parliament
<http://www.wikidata.org/entity/Q11803853>	Sir John Ramsden, 5th Baronet	<http://www.wikidata.org/entity/Q21084434>	17th United Kingdom Parliament	<http://www.wikidata.org/entity/Q11797255>	Hythe		nan	1857-03-27	<http://www.wikidata.org/entity/Q4345446>	1857 United Kingdom general election	1859-02-09	<http://www.wikidata.org/entity/Q796919>	resignation
<http://www.wikidata.org/entity/Q11803853>	Sir John Ramsden, 5th Baronet	<http://www.wikidata.org/entity/Q21084434>	17th United Kingdom Parliament	<http://www.wikidata.org/entity/Q7986362>	West Riding of Yorkshire		nan	1859-02-21	<http://www.wikidata.org/entity/Q7864918>	UK Parliamentary by-election	1859-04-23	<http://www.wikidata.org/entity/Q741182>	dissolution of parliament
<http://www.wikidata.org/entity/Q12066246>	Henry Portman, 2nd Viscount Portman	<http://www.wikidata.org/entity/Q21084434>	17th United Kingdom Parliament	<http://www.wikidata.org/entity/Q5298834>	Dorset		nan	1857-04-06	<http://www.wikidata.org/entity/Q4345446>	1857 United Kingdom general election	1859-04-23	<http://www.wikidata.org/entity/Q741182>	dissolution of parliament
