mp_ref	mp	term_ref	term	constituency_ref	constituency	party_ref	party	start	election_ref	election	end	cause_ref	cause
<http://www.wikidata.org/entity/Q7599676>	Stanley Holmes, 1st Baron Dovercourt	<http://www.wikidata.org/entity/Q21084448>	31st United Kingdom Parliament	<http://www.wikidata.org/entity/Q1032512>	North East Derbyshire	<http://www.wikidata.org/entity/Q622441>	Liberal Party	1918-12-14	<http://www.wikidata.org/entity/Q3042701>	1918 United Kingdom general election	1922-10-26	<http://www.wikidata.org/entity/Q741182>	dissolution of parliament
<http://www.wikidata.org/entity/Q7609334>	Stephen Goodwin Howard	<http://www.wikidata.org/entity/Q21084448>	31st United Kingdom Parliament	<http://www.wikidata.org/entity/Q7633491>	Sudbury	<http://www.wikidata.org/entity/Q622441>	Liberal Party	1918-12-14	<http://www.wikidata.org/entity/Q3042701>	1918 United Kingdom general election	1922-10-26	<http://www.wikidata.org/entity/Q741182>	dissolution of parliament
<http://www.wikidata.org/entity/Q7781729>	Theodore Carr	<http://www.wikidata.org/entity/Q21084448>	31st United Kingdom Parliament	<http://www.wikidata.org/entity/Q3238953>	Carlisle	<http://www.wikidata.org/entity/Q622441>	Liberal Party	1918-12-14	<http://www.wikidata.org/entity/Q3042701>	1918 United Kingdom general election	1922-10-26	<http://www.wikidata.org/entity/Q741182>	dissolution of parliament
<http://www.wikidata.org/entity/Q7787147>	Thomas Arthur Lewis	<http://www.wikidata.org/entity/Q21084448>	31st United Kingdom Parliament	<http://www.wikidata.org/entity/Q1032468>	Pontypridd	<http://www.wikidata.org/entity/Q622441>	Liberal Party	1918-12-14	<http://www.wikidata.org/entity/Q3042701>	1918 United Kingdom general election	1922-07-01	<http://www.wikidata.org/entity/Q51212178>	ministerial appointment
<http://www.wikidata.org/entity/Q7787822>	Thomas Bramsdon	<http://www.wikidata.org/entity/Q21084448>	31st United Kingdom Parliament	<http://www.wikidata.org/entity/Q7232434>	Portsmouth Central	<http://www.wikidata.org/entity/Q622441>	Liberal Party	1918-12-14	<http://www.wikidata.org/entity/Q3042701>	1918 United Kingdom general election	1922-10-26	<http://www.wikidata.org/entity/Q741182>	dissolution of parliament
<http://www.wikidata.org/entity/Q7787907>	Thomas Broad	<http://www.wikidata.org/entity/Q21084448>	31st United Kingdom Parliament	<http://www.wikidata.org/entity/Q5129880>	Clay Cross	<http://www.wikidata.org/entity/Q622441>	Liberal Party	1918-12-14	<http://www.wikidata.org/entity/Q3042701>	1918 United Kingdom general election	1922-10-26	<http://www.wikidata.org/entity/Q741182>	dissolution of parliament
<http://www.wikidata.org/entity/Q7790615>	Thomas Henry Parry	<http://www.wikidata.org/entity/Q21084448>	31st United Kingdom Parliament	<http://www.wikidata.org/entity/Q5459604>	Flintshire	<http://www.wikidata.org/entity/Q622441>	Liberal Party	1918-12-14	<http://www.wikidata.org/entity/Q3042701>	1918 United Kingdom general election	1922-10-26	<http://www.wikidata.org/entity/Q741182>	dissolution of parliament
<http://www.wikidata.org/entity/Q7791211>	Thomas James Macnamara	<http://www.wikidata.org/entity/Q21084448>	31st United Kingdom Parliament	<http://www.wikidata.org/entity/Q5025064>	Camberwell North West	<http://www.wikidata.org/entity/Q622441>	Liberal Party	1918-12-14	<http://www.wikidata.org/entity/Q3042701>	1918 United Kingdom general election	1922-10-26	<http://www.wikidata.org/entity/Q741182>	dissolution of parliament
<http://www.wikidata.org/entity/Q7791305>	Thomas Jeremiah Williams	<http://www.wikidata.org/entity/Q21084448>	31st United Kingdom Parliament	<http://www.wikidata.org/entity/Q988081>	Swansea East	<http://www.wikidata.org/entity/Q622441>	Liberal Party	1918-12-14	<http://www.wikidata.org/entity/Q3042701>	1918 United Kingdom general election	1919-06-12	<http://www.wikidata.org/entity/Q5247364>	death in office
<http://www.wikidata.org/entity/Q7792993>	Thomas Palmer Whittaker	<http://www.wikidata.org/entity/Q21084448>	31st United Kingdom Parliament	<http://www.wikidata.org/entity/Q7575931>	Spen Valley	<http://www.wikidata.org/entity/Q622441>	Liberal Party	1918-12-14	<http://www.wikidata.org/entity/Q3042701>	1918 United Kingdom general election	1919-11-09	<http://www.wikidata.org/entity/Q5247364>	death in office
<http://www.wikidata.org/entity/Q7793596>	Thomas Robinson	<http://www.wikidata.org/entity/Q21084448>	31st United Kingdom Parliament	<http://www.wikidata.org/entity/Q7623502>	Stretford	<http://www.wikidata.org/entity/Q622441>	Liberal Party	1918-12-14	<http://www.wikidata.org/entity/Q3042701>	1918 United Kingdom general election	1922-10-26	<http://www.wikidata.org/entity/Q741182>	dissolution of parliament
<http://www.wikidata.org/entity/Q7795255>	Thomas Wintringham	<http://www.wikidata.org/entity/Q21084448>	31st United Kingdom Parliament	<http://www.wikidata.org/entity/Q6689838>	Louth, Lincolnshire	<http://www.wikidata.org/entity/Q622441>	Liberal Party	1920-06-03	<http://www.wikidata.org/entity/Q7864918>	UK Parliamentary by-election	1921-08-08	<http://www.wikidata.org/entity/Q5247364>	death in office
<http://www.wikidata.org/entity/Q7838947>	Trevelyan Thomson	<http://www.wikidata.org/entity/Q21084448>	31st United Kingdom Parliament	<http://www.wikidata.org/entity/Q6841864>	Middlesbrough West	<http://www.wikidata.org/entity/Q622441>	Liberal Party	1918-12-14	<http://www.wikidata.org/entity/Q3042701>	1918 United Kingdom general election	1922-10-26	<http://www.wikidata.org/entity/Q741182>	dissolution of parliament
<http://www.wikidata.org/entity/Q7851315>	Tudor Rees	<http://www.wikidata.org/entity/Q21084448>	31st United Kingdom Parliament	<http://www.wikidata.org/entity/Q4861963>	Barnstaple	<http://www.wikidata.org/entity/Q622441>	Liberal Party	1918-12-14	<http://www.wikidata.org/entity/Q3042701>	1918 United Kingdom general election	1922-10-26	<http://www.wikidata.org/entity/Q741182>	dissolution of parliament
<http://www.wikidata.org/entity/Q7964859>	Walter Forrest	<http://www.wikidata.org/entity/Q21084448>	31st United Kingdom Parliament	<http://www.wikidata.org/entity/Q7228170>	Pontefract	<http://www.wikidata.org/entity/Q622441>	Liberal Party	1919-09-06	<http://www.wikidata.org/entity/Q7864918>	UK Parliamentary by-election	1922-10-26	<http://www.wikidata.org/entity/Q741182>	dissolution of parliament
<http://www.wikidata.org/entity/Q7966382>	Walter Waring	<http://www.wikidata.org/entity/Q21084448>	31st United Kingdom Parliament	<http://www.wikidata.org/entity/Q3134218>	Blaydon	<http://www.wikidata.org/entity/Q622441>	Liberal Party	1918-12-14	<http://www.wikidata.org/entity/Q3042701>	1918 United Kingdom general election	1922-10-26	<http://www.wikidata.org/entity/Q741182>	dissolution of parliament
<http://www.wikidata.org/entity/Q8007217>	William Cozens-Hardy, 2nd Baron Cozens-Hardy	<http://www.wikidata.org/entity/Q21084448>	31st United Kingdom Parliament	<http://www.wikidata.org/entity/Q988942>	South Norfolk	<http://www.wikidata.org/entity/Q622441>	Liberal Party	1918-12-14	<http://www.wikidata.org/entity/Q3042701>	1918 United Kingdom general election	1920-06-18	<http://www.wikidata.org/entity/Q46992747>	succession to a peerage
<http://www.wikidata.org/entity/Q8012148>	William Henry Seager	<http://www.wikidata.org/entity/Q21084448>	31st United Kingdom Parliament	<http://www.wikidata.org/entity/Q5038413>	Cardiff East	<http://www.wikidata.org/entity/Q622441>	Liberal Party	1918-12-14	<http://www.wikidata.org/entity/Q3042701>	1918 United Kingdom general election	1922-10-26	<http://www.wikidata.org/entity/Q741182>	dissolution of parliament
<http://www.wikidata.org/entity/Q8016709>	William Pearce	<http://www.wikidata.org/entity/Q21084448>	31st United Kingdom Parliament	<http://www.wikidata.org/entity/Q6549174>	Limehouse	<http://www.wikidata.org/entity/Q622441>	Liberal Party	1918-12-14	<http://www.wikidata.org/entity/Q3042701>	1918 United Kingdom general election	1922-10-26	<http://www.wikidata.org/entity/Q741182>	dissolution of parliament
<http://www.wikidata.org/entity/Q8018980>	William Sutherland	<http://www.wikidata.org/entity/Q21084448>	31st United Kingdom Parliament	<http://www.wikidata.org/entity/Q4789860>	Argyllshire	<http://www.wikidata.org/entity/Q622441>	Liberal Party	1918-12-14	<http://www.wikidata.org/entity/Q3042701>	1918 United Kingdom general election	1922-10-26	<http://www.wikidata.org/entity/Q741182>	dissolution of parliament
<http://www.wikidata.org/entity/Q8020564>	William Woolcock	<http://www.wikidata.org/entity/Q21084448>	31st United Kingdom Parliament	<http://www.wikidata.org/entity/Q43291494>	Hackney Central	<http://www.wikidata.org/entity/Q622441>	Liberal Party	1918-12-14	<http://www.wikidata.org/entity/Q3042701>	1918 United Kingdom general election	1922-10-26	<http://www.wikidata.org/entity/Q741182>	dissolution of parliament
<http://www.wikidata.org/entity/Q8020678>	William Young	<http://www.wikidata.org/entity/Q21084448>	31st United Kingdom Parliament	<http://www.wikidata.org/entity/Q56185612>	Perth	<http://www.wikidata.org/entity/Q622441>	Liberal Party	1918-12-14	<http://www.wikidata.org/entity/Q3042701>	1918 United Kingdom general election	1922-10-26	<http://www.wikidata.org/entity/Q741182>	dissolution of parliament
<http://www.wikidata.org/entity/Q8016>	Winston Churchill	<http://www.wikidata.org/entity/Q21084448>	31st United Kingdom Parliament	<http://www.wikidata.org/entity/Q5314798>	Dundee	<http://www.wikidata.org/entity/Q622441>	Liberal Party	1918-12-14	<http://www.wikidata.org/entity/Q3042701>	1918 United Kingdom general election	1922-10-26	<http://www.wikidata.org/entity/Q741182>	dissolution of parliament
<http://www.wikidata.org/entity/Q12356771>	Will Thorne	<http://www.wikidata.org/entity/Q21084448>	31st United Kingdom Parliament	<http://www.wikidata.org/entity/Q7200802>	Plaistow	<http://www.wikidata.org/entity/Q9630>	Labour Party	1918-12-14	<http://www.wikidata.org/entity/Q3042701>	1918 United Kingdom general election	1922-10-26	<http://www.wikidata.org/entity/Q741182>	dissolution of parliament
<http://www.wikidata.org/entity/Q15999171>	Thomas Naylor	<http://www.wikidata.org/entity/Q21084448>	31st United Kingdom Parliament	<http://www.wikidata.org/entity/Q7571165>	Southwark South East	<http://www.wikidata.org/entity/Q9630>	Labour Party	1921-12-14	<http://www.wikidata.org/entity/Q7864918>	UK Parliamentary by-election	1922-10-26	<http://www.wikidata.org/entity/Q741182>	dissolution of parliament
