mp_ref	mp	term_ref	term	constituency_ref	constituency	party_ref	party	start	election_ref	election	end	cause_ref	cause
<http://www.wikidata.org/entity/Q1066568>	Charles Sibthorp	<http://www.wikidata.org/entity/Q21084431>	14th United Kingdom Parliament	<http://www.wikidata.org/entity/Q56185599>	Lincoln		nan	1841-06-29	<http://www.wikidata.org/entity/Q2073185>	1841 United Kingdom general election	1847-07-23	<http://www.wikidata.org/entity/Q741182>	dissolution of parliament
<http://www.wikidata.org/entity/Q11309157>	James Duff, 5th Earl Fife	<http://www.wikidata.org/entity/Q21084431>	14th United Kingdom Parliament	<http://www.wikidata.org/entity/Q4854880>	Banffshire		nan	1841-06-29	<http://www.wikidata.org/entity/Q2073185>	1841 United Kingdom general election	1847-07-23	<http://www.wikidata.org/entity/Q741182>	dissolution of parliament
<http://www.wikidata.org/entity/Q1149445>	Francis Egerton, 1st Earl of Ellesmere	<http://www.wikidata.org/entity/Q21084431>	14th United Kingdom Parliament	<http://www.wikidata.org/entity/Q56189369>	South Lancashire		nan	1841-06-29	<http://www.wikidata.org/entity/Q2073185>	1841 United Kingdom general election	1846-07-06		nan
<http://www.wikidata.org/entity/Q11771724>	Maurice Berkeley, 1st Baron FitzHardinge	<http://www.wikidata.org/entity/Q21084431>	14th United Kingdom Parliament	<http://www.wikidata.org/entity/Q56189411>	Gloucester		nan	1841-06-29	<http://www.wikidata.org/entity/Q2073185>	1841 United Kingdom general election	1847-07-23	<http://www.wikidata.org/entity/Q741182>	dissolution of parliament
<http://www.wikidata.org/entity/Q11800745>	Sir John Chetwode, 4th Baronet	<http://www.wikidata.org/entity/Q21084431>	14th United Kingdom Parliament	<http://www.wikidata.org/entity/Q56189404>	Buckingham		nan	1841-06-29	<http://www.wikidata.org/entity/Q2073185>	1841 United Kingdom general election	1845-12-17	<http://www.wikidata.org/entity/Q5247364>	death in office
<http://www.wikidata.org/entity/Q11801634>	John Willis Fleming	<http://www.wikidata.org/entity/Q21084431>	14th United Kingdom Parliament	<http://www.wikidata.org/entity/Q7567414>	South Hampshire		nan	1841-06-29	<http://www.wikidata.org/entity/Q2073185>	1841 United Kingdom general election	1842-08-10		nan
<http://www.wikidata.org/entity/Q11801709>	Edward Clive	<http://www.wikidata.org/entity/Q21084431>	14th United Kingdom Parliament	<http://www.wikidata.org/entity/Q56185588>	Hereford		nan	1841-06-29	<http://www.wikidata.org/entity/Q2073185>	1841 United Kingdom general election	1845-07-22	<http://www.wikidata.org/entity/Q5247364>	death in office
<http://www.wikidata.org/entity/Q11803033>	Ralph Neville-Grenville	<http://www.wikidata.org/entity/Q21084431>	14th United Kingdom Parliament	<http://www.wikidata.org/entity/Q56189350>	Windsor		nan	1841-06-29	<http://www.wikidata.org/entity/Q2073185>	1841 United Kingdom general election	1847-07-23	<http://www.wikidata.org/entity/Q741182>	dissolution of parliament
<http://www.wikidata.org/entity/Q11803195>	John Henniker-Major, 4th Baron Henniker	<http://www.wikidata.org/entity/Q21084431>	14th United Kingdom Parliament	<http://www.wikidata.org/entity/Q5329450>	East Suffolk		nan	1841-06-29	<http://www.wikidata.org/entity/Q2073185>	1841 United Kingdom general election	1846-02-05		nan
<http://www.wikidata.org/entity/Q11803335>	Musgrave Brisco	<http://www.wikidata.org/entity/Q21084431>	14th United Kingdom Parliament	<http://www.wikidata.org/entity/Q56189487>	Hastings		nan	1844-03-30	<http://www.wikidata.org/entity/Q7864918>	UK Parliamentary by-election	1847-07-23	<http://www.wikidata.org/entity/Q741182>	dissolution of parliament
