mp_ref	mp	term_ref	term	constituency_ref	constituency	party_ref	party	start	election_ref	election	end	cause_ref	cause
<http://www.wikidata.org/entity/Q106618>	Henry Campbell-Bannerman	<http://www.wikidata.org/entity/Q21084445>	28th United Kingdom Parliament	<http://www.wikidata.org/entity/Q7617564>	Stirling Burghs	<http://www.wikidata.org/entity/Q622441>	Liberal Party	1906-01-12	<http://www.wikidata.org/entity/Q3076606>	1906 United Kingdom general election	1908-04-22	<http://www.wikidata.org/entity/Q5247364>	death in office
<http://www.wikidata.org/entity/Q11727985>	John Sinclair, 1st Baron Pentland	<http://www.wikidata.org/entity/Q21084445>	28th United Kingdom Parliament	<http://www.wikidata.org/entity/Q5469523>	Forfarshire		nan	1906-01-12	<http://www.wikidata.org/entity/Q3076606>	1906 United Kingdom general election	1909-02-10	<http://www.wikidata.org/entity/Q796919>	resignation
<http://www.wikidata.org/entity/Q1179483>	John Frederick Peel Rawlinson	<http://www.wikidata.org/entity/Q21084445>	28th United Kingdom Parliament	<http://www.wikidata.org/entity/Q5025572>	Cambridge University	<http://www.wikidata.org/entity/Q9626>	Conservative Party	1906-01-12	<http://www.wikidata.org/entity/Q3076606>	1906 United Kingdom general election	1910-01-10	<http://www.wikidata.org/entity/Q741182>	dissolution of parliament
<http://www.wikidata.org/entity/Q11800794>	James Tomkinson	<http://www.wikidata.org/entity/Q21084445>	28th United Kingdom Parliament	<http://www.wikidata.org/entity/Q5184814>	Crewe		nan	1906-01-12	<http://www.wikidata.org/entity/Q3076606>	1906 United Kingdom general election	1910-01-10	<http://www.wikidata.org/entity/Q741182>	dissolution of parliament
<http://www.wikidata.org/entity/Q11806660>	Eugene Wason	<http://www.wikidata.org/entity/Q21084445>	28th United Kingdom Parliament	<http://www.wikidata.org/entity/Q5124900>	Clackmannanshire and Kinross-shire		nan	1906-01-12	<http://www.wikidata.org/entity/Q3076606>	1906 United Kingdom general election	1910-01-10	<http://www.wikidata.org/entity/Q741182>	dissolution of parliament
<http://www.wikidata.org/entity/Q12064625>	Thomas Power O'Connor	<http://www.wikidata.org/entity/Q21084445>	28th United Kingdom Parliament	<http://www.wikidata.org/entity/Q6658555>	Liverpool Scotland		nan	1906-01-12	<http://www.wikidata.org/entity/Q3076606>	1906 United Kingdom general election	1910-01-10	<http://www.wikidata.org/entity/Q741182>	dissolution of parliament
<http://www.wikidata.org/entity/Q12356771>	Will Thorne	<http://www.wikidata.org/entity/Q21084445>	28th United Kingdom Parliament	<http://www.wikidata.org/entity/Q42122454>	West Ham South	<http://www.wikidata.org/entity/Q9630>	Labour Party	1906-01-12	<http://www.wikidata.org/entity/Q3076606>	1906 United Kingdom general election	1910-01-10	<http://www.wikidata.org/entity/Q741182>	dissolution of parliament
<http://www.wikidata.org/entity/Q13426124>	Aretas Akers-Douglas, 1st Viscount Chilston	<http://www.wikidata.org/entity/Q21084445>	28th United Kingdom Parliament	<http://www.wikidata.org/entity/Q7592531>	St Augustine's	<http://www.wikidata.org/entity/Q9626>	Conservative Party	1906-01-12	<http://www.wikidata.org/entity/Q3076606>	1906 United Kingdom general election	1910-01-10	<http://www.wikidata.org/entity/Q741182>	dissolution of parliament
<http://www.wikidata.org/entity/Q134982>	David Lloyd George	<http://www.wikidata.org/entity/Q21084445>	28th United Kingdom Parliament	<http://www.wikidata.org/entity/Q3399026>	Caernarfon	<http://www.wikidata.org/entity/Q622441>	Liberal Party	1906-01-12	<http://www.wikidata.org/entity/Q3076606>	1906 United Kingdom general election	1910-01-10	<http://www.wikidata.org/entity/Q741182>	dissolution of parliament
<http://www.wikidata.org/entity/Q13529783>	Wilfrid Ashley, 1st Baron Mount Temple	<http://www.wikidata.org/entity/Q21084445>	28th United Kingdom Parliament	<http://www.wikidata.org/entity/Q4923237>	Blackpool	<http://www.wikidata.org/entity/Q9626>	Conservative Party	1906-01-12	<http://www.wikidata.org/entity/Q3076606>	1906 United Kingdom general election	1910-01-10	<http://www.wikidata.org/entity/Q741182>	dissolution of parliament
<http://www.wikidata.org/entity/Q13529874>	Sir Edward Coates, 1st Baronet	<http://www.wikidata.org/entity/Q21084445>	28th United Kingdom Parliament	<http://www.wikidata.org/entity/Q6537299>	Lewisham	<http://www.wikidata.org/entity/Q9626>	Conservative Party	1906-01-12	<http://www.wikidata.org/entity/Q3076606>	1906 United Kingdom general election	1910-01-10	<http://www.wikidata.org/entity/Q741182>	dissolution of parliament
<http://www.wikidata.org/entity/Q13529893>	John Dumphreys	<http://www.wikidata.org/entity/Q21084445>	28th United Kingdom Parliament	<http://www.wikidata.org/entity/Q42298258>	Bermondsey	<http://www.wikidata.org/entity/Q9626>	Conservative Party	1909-10-28	<http://www.wikidata.org/entity/Q7864918>	UK Parliamentary by-election	1910-01-10	<http://www.wikidata.org/entity/Q741182>	dissolution of parliament
<http://www.wikidata.org/entity/Q13529904>	Ernest Gardner	<http://www.wikidata.org/entity/Q21084445>	28th United Kingdom Parliament	<http://www.wikidata.org/entity/Q45592559>	Wokingham	<http://www.wikidata.org/entity/Q9626>	Conservative Party	1906-01-12	<http://www.wikidata.org/entity/Q3076606>	1906 United Kingdom general election	1910-01-10	<http://www.wikidata.org/entity/Q741182>	dissolution of parliament
<http://www.wikidata.org/entity/Q13529929>	Henry Harrison-Broadley	<http://www.wikidata.org/entity/Q21084445>	28th United Kingdom Parliament	<http://www.wikidata.org/entity/Q5921455>	Howdenshire	<http://www.wikidata.org/entity/Q9626>	Conservative Party	1906-01-12	<http://www.wikidata.org/entity/Q3076606>	1906 United Kingdom general election	1910-01-10	<http://www.wikidata.org/entity/Q741182>	dissolution of parliament
<http://www.wikidata.org/entity/Q13529999>	Sir Philip Muntz, 1st Baronet	<http://www.wikidata.org/entity/Q21084445>	28th United Kingdom Parliament	<http://www.wikidata.org/entity/Q45137253>	Tamworth	<http://www.wikidata.org/entity/Q9626>	Conservative Party	1906-01-12	<http://www.wikidata.org/entity/Q3076606>	1906 United Kingdom general election	1908-12-21	<http://www.wikidata.org/entity/Q5247364>	death in office
<http://www.wikidata.org/entity/Q13530011>	John James Oddy	<http://www.wikidata.org/entity/Q21084445>	28th United Kingdom Parliament	<http://www.wikidata.org/entity/Q45592119>	Pudsey		nan	1908-06-20	<http://www.wikidata.org/entity/Q7864918>	UK Parliamentary by-election	1910-01-10	<http://www.wikidata.org/entity/Q741182>	dissolution of parliament
<http://www.wikidata.org/entity/Q1386511>	Ronald Munro Ferguson, 1st Viscount Novar	<http://www.wikidata.org/entity/Q21084445>	28th United Kingdom Parliament	<http://www.wikidata.org/entity/Q11797262>	Leith Burghs		nan	1906-01-12	<http://www.wikidata.org/entity/Q3076606>	1906 United Kingdom general election	1910-01-10	<http://www.wikidata.org/entity/Q741182>	dissolution of parliament
<http://www.wikidata.org/entity/Q1441667>	Francis Newdegate	<http://www.wikidata.org/entity/Q21084445>	28th United Kingdom Parliament	<http://www.wikidata.org/entity/Q45137253>	Tamworth	<http://www.wikidata.org/entity/Q9626>	Conservative Party	1909-01-16	<http://www.wikidata.org/entity/Q7864918>	UK Parliamentary by-election	1910-01-10	<http://www.wikidata.org/entity/Q741182>	dissolution of parliament
<http://www.wikidata.org/entity/Q14945476>	Ryland Adkins	<http://www.wikidata.org/entity/Q21084445>	28th United Kingdom Parliament	<http://www.wikidata.org/entity/Q6841998>	Middleton		nan	1906-01-12	<http://www.wikidata.org/entity/Q3076606>	1906 United Kingdom general election	1910-01-10	<http://www.wikidata.org/entity/Q741182>	dissolution of parliament
<http://www.wikidata.org/entity/Q14945620>	Harry Trelawney Eve	<http://www.wikidata.org/entity/Q21084445>	28th United Kingdom Parliament	<http://www.wikidata.org/entity/Q4804663>	Ashburton		nan	1906-01-12	<http://www.wikidata.org/entity/Q3076606>	1906 United Kingdom general election	1907-12-11	<http://www.wikidata.org/entity/Q46993416>	appointed as a judge
<http://www.wikidata.org/entity/Q14945723>	Henry Yorke Stanger	<http://www.wikidata.org/entity/Q21084445>	28th United Kingdom Parliament	<http://www.wikidata.org/entity/Q16851951>	Kensington North		nan	1906-01-12	<http://www.wikidata.org/entity/Q3076606>	1906 United Kingdom general election	1910-01-10	<http://www.wikidata.org/entity/Q741182>	dissolution of parliament
<http://www.wikidata.org/entity/Q14946890>	Percy Molteno	<http://www.wikidata.org/entity/Q21084445>	28th United Kingdom Parliament	<http://www.wikidata.org/entity/Q5313811>	Dumfriesshire		nan	1906-01-12	<http://www.wikidata.org/entity/Q3076606>	1906 United Kingdom general election	1910-01-10	<http://www.wikidata.org/entity/Q741182>	dissolution of parliament
<http://www.wikidata.org/entity/Q15047465>	John Sutherland	<http://www.wikidata.org/entity/Q21084445>	28th United Kingdom Parliament	<http://www.wikidata.org/entity/Q5360015>	Elgin Burghs		nan	1906-01-12	<http://www.wikidata.org/entity/Q3076606>	1906 United Kingdom general election	1910-01-10	<http://www.wikidata.org/entity/Q741182>	dissolution of parliament
<http://www.wikidata.org/entity/Q15070089>	Sir Frank Newnes, 2nd Baronet	<http://www.wikidata.org/entity/Q21084445>	28th United Kingdom Parliament	<http://www.wikidata.org/entity/Q1077488>	Bassetlaw		nan	1906-01-12	<http://www.wikidata.org/entity/Q3076606>	1906 United Kingdom general election	1910-01-10	<http://www.wikidata.org/entity/Q741182>	dissolution of parliament
<http://www.wikidata.org/entity/Q15072628>	Arthur Walters Wills	<http://www.wikidata.org/entity/Q21084445>	28th United Kingdom Parliament	<http://www.wikidata.org/entity/Q1032537>	North Dorset		nan	1906-01-12	<http://www.wikidata.org/entity/Q3076606>	1906 United Kingdom general election	1910-01-10	<http://www.wikidata.org/entity/Q741182>	dissolution of parliament
<http://www.wikidata.org/entity/Q1508664>	George Younger, 1st Viscount Younger of Leckie	<http://www.wikidata.org/entity/Q21084445>	28th United Kingdom Parliament	<http://www.wikidata.org/entity/Q4831620>	Ayr Burghs	<http://www.wikidata.org/entity/Q9626>	Conservative Party	1906-01-12	<http://www.wikidata.org/entity/Q3076606>	1906 United Kingdom general election	1910-01-10	<http://www.wikidata.org/entity/Q741182>	dissolution of parliament
<http://www.wikidata.org/entity/Q1536928>	Richard Bell	<http://www.wikidata.org/entity/Q21084445>	28th United Kingdom Parliament	<http://www.wikidata.org/entity/Q5261411>	Derby		nan	1906-01-12	<http://www.wikidata.org/entity/Q3076606>	1906 United Kingdom general election	1910-01-10	<http://www.wikidata.org/entity/Q741182>	dissolution of parliament
<http://www.wikidata.org/entity/Q15452807>	Francis Seymour Stevenson	<http://www.wikidata.org/entity/Q21084445>	28th United Kingdom Parliament	<http://www.wikidata.org/entity/Q5422600>	Eye	<http://www.wikidata.org/entity/Q622441>	Liberal Party	1906-01-12	<http://www.wikidata.org/entity/Q3076606>	1906 United Kingdom general election	1906-03-19	<http://www.wikidata.org/entity/Q796919>	resignation
<http://www.wikidata.org/entity/Q15458356>	John O'Connor	<http://www.wikidata.org/entity/Q21084445>	28th United Kingdom Parliament	<http://www.wikidata.org/entity/Q7055786>	North Kildare		nan	1906-01-12	<http://www.wikidata.org/entity/Q3076606>	1906 United Kingdom general election	1910-01-10	<http://www.wikidata.org/entity/Q741182>	dissolution of parliament
<http://www.wikidata.org/entity/Q15485984>	Sir Richard Durning Holt, 1st Baronet	<http://www.wikidata.org/entity/Q21084445>	28th United Kingdom Parliament	<http://www.wikidata.org/entity/Q1072703>	Hexham		nan	1907-03-27	<http://www.wikidata.org/entity/Q7864918>	UK Parliamentary by-election	1910-01-10	<http://www.wikidata.org/entity/Q741182>	dissolution of parliament
<http://www.wikidata.org/entity/Q15497183>	William Job Collins	<http://www.wikidata.org/entity/Q21084445>	28th United Kingdom Parliament	<http://www.wikidata.org/entity/Q7595045>	St Pancras West		nan	1906-01-12	<http://www.wikidata.org/entity/Q3076606>	1906 United Kingdom general election	1910-01-10	<http://www.wikidata.org/entity/Q741182>	dissolution of parliament
<http://www.wikidata.org/entity/Q15990036>	Arnold Herbert	<http://www.wikidata.org/entity/Q21084445>	28th United Kingdom Parliament	<http://www.wikidata.org/entity/Q750841>	Wycombe		nan	1906-01-12	<http://www.wikidata.org/entity/Q3076606>	1906 United Kingdom general election	1910-01-10	<http://www.wikidata.org/entity/Q741182>	dissolution of parliament
<http://www.wikidata.org/entity/Q15996123>	Hugh Law	<http://www.wikidata.org/entity/Q21084445>	28th United Kingdom Parliament	<http://www.wikidata.org/entity/Q7984976>	West Donegal		nan	1906-01-12	<http://www.wikidata.org/entity/Q3076606>	1906 United Kingdom general election	1910-01-10	<http://www.wikidata.org/entity/Q741182>	dissolution of parliament
<http://www.wikidata.org/entity/Q15996281>	Thomas Howell Williams Idris	<http://www.wikidata.org/entity/Q21084445>	28th United Kingdom Parliament	<http://www.wikidata.org/entity/Q5459480>	Flint Boroughs		nan	1906-01-12	<http://www.wikidata.org/entity/Q3076606>	1906 United Kingdom general election	1910-01-10	<http://www.wikidata.org/entity/Q741182>	dissolution of parliament
<http://www.wikidata.org/entity/Q15996349>	Sir Charles Shaw, 1st Baronet	<http://www.wikidata.org/entity/Q21084445>	28th United Kingdom Parliament	<http://www.wikidata.org/entity/Q43291154>	Stafford		nan	1906-01-12	<http://www.wikidata.org/entity/Q3076606>	1906 United Kingdom general election	1910-01-10	<http://www.wikidata.org/entity/Q741182>	dissolution of parliament
<http://www.wikidata.org/entity/Q15996350>	Arthur Sherwell	<http://www.wikidata.org/entity/Q21084445>	28th United Kingdom Parliament	<http://www.wikidata.org/entity/Q43291052>	Huddersfield		nan	1906-11-28	<http://www.wikidata.org/entity/Q7864918>	UK Parliamentary by-election	1910-01-10	<http://www.wikidata.org/entity/Q741182>	dissolution of parliament
<http://www.wikidata.org/entity/Q15996967>	Arthur George Hooper	<http://www.wikidata.org/entity/Q21084445>	28th United Kingdom Parliament	<http://www.wikidata.org/entity/Q978713>	Dudley		nan	1906-01-12	<http://www.wikidata.org/entity/Q3076606>	1906 United Kingdom general election	1910-01-10	<http://www.wikidata.org/entity/Q741182>	dissolution of parliament
<http://www.wikidata.org/entity/Q15997417>	Berkeley Sheffield	<http://www.wikidata.org/entity/Q21084445>	28th United Kingdom Parliament	<http://www.wikidata.org/entity/Q4967230>	Brigg	<http://www.wikidata.org/entity/Q9626>	Conservative Party	1907-02-26	<http://www.wikidata.org/entity/Q7864918>	UK Parliamentary by-election	1910-01-10	<http://www.wikidata.org/entity/Q741182>	dissolution of parliament
<http://www.wikidata.org/entity/Q15997536>	Leslie Renton	<http://www.wikidata.org/entity/Q21084445>	28th United Kingdom Parliament	<http://www.wikidata.org/entity/Q42298245>	Gainsborough	<http://www.wikidata.org/entity/Q622441>	Liberal Party	1906-01-12	<http://www.wikidata.org/entity/Q3076606>	1906 United Kingdom general election	1907-11-30	<http://www.wikidata.org/entity/Q30580660>	leaving party
<http://www.wikidata.org/entity/Q15997536>	Leslie Renton	<http://www.wikidata.org/entity/Q21084445>	28th United Kingdom Parliament	<http://www.wikidata.org/entity/Q42298245>	Gainsborough	<http://www.wikidata.org/entity/Q1754707>	Liberal Unionist Party	1907-11-30		nan	1910-01-10	<http://www.wikidata.org/entity/Q741182>	dissolution of parliament
<http://www.wikidata.org/entity/Q15998134>	Henry Montgomery	<http://www.wikidata.org/entity/Q21084445>	28th United Kingdom Parliament	<http://www.wikidata.org/entity/Q4119978>	Bridgwater		nan	1906-01-12	<http://www.wikidata.org/entity/Q3076606>	1906 United Kingdom general election	1910-01-10	<http://www.wikidata.org/entity/Q741182>	dissolution of parliament
<http://www.wikidata.org/entity/Q15998181>	Thomas Wiles	<http://www.wikidata.org/entity/Q21084445>	28th United Kingdom Parliament	<http://www.wikidata.org/entity/Q6084398>	Islington South		nan	1906-01-12	<http://www.wikidata.org/entity/Q3076606>	1906 United Kingdom general election	1910-01-10	<http://www.wikidata.org/entity/Q741182>	dissolution of parliament
