mp_ref	mp	term_ref	term	constituency_ref	constituency	party_ref	party	start	election_ref	election	end	cause_ref	cause
<http://www.wikidata.org/entity/Q1066568>	Charles Sibthorp	<http://www.wikidata.org/entity/Q21084429>	12th United Kingdom Parliament	<http://www.wikidata.org/entity/Q56185599>	Lincoln		nan	1835-01-06	<http://www.wikidata.org/entity/Q1834355>	1835 United Kingdom general election	1837-07-17	<http://www.wikidata.org/entity/Q741182>	dissolution of parliament
<http://www.wikidata.org/entity/Q1149445>	Francis Egerton, 1st Earl of Ellesmere	<http://www.wikidata.org/entity/Q21084429>	12th United Kingdom Parliament	<http://www.wikidata.org/entity/Q56189369>	South Lancashire		nan	1835-01-06	<http://www.wikidata.org/entity/Q1834355>	1835 United Kingdom general election	1837-07-17	<http://www.wikidata.org/entity/Q741182>	dissolution of parliament
<http://www.wikidata.org/entity/Q11771724>	Maurice Berkeley, 1st Baron FitzHardinge	<http://www.wikidata.org/entity/Q21084429>	12th United Kingdom Parliament	<http://www.wikidata.org/entity/Q56189411>	Gloucester		nan	1835-01-06	<http://www.wikidata.org/entity/Q1834355>	1835 United Kingdom general election	1837-07-17	<http://www.wikidata.org/entity/Q741182>	dissolution of parliament
<http://www.wikidata.org/entity/Q11800932>	William Blamire	<http://www.wikidata.org/entity/Q21084429>	12th United Kingdom Parliament	<http://www.wikidata.org/entity/Q5328196>	East Cumberland		nan	1835-01-06	<http://www.wikidata.org/entity/Q1834355>	1835 United Kingdom general election	1836-08-01	<http://www.wikidata.org/entity/Q796919>	resignation
<http://www.wikidata.org/entity/Q11801410>	Sir Hedworth Williamson, 7th Baronet	<http://www.wikidata.org/entity/Q21084429>	12th United Kingdom Parliament	<http://www.wikidata.org/entity/Q45595036>	Durham Northern		nan	1835-01-06	<http://www.wikidata.org/entity/Q1834355>	1835 United Kingdom general election	1837-07-17	<http://www.wikidata.org/entity/Q741182>	dissolution of parliament
<http://www.wikidata.org/entity/Q11801634>	John Willis Fleming	<http://www.wikidata.org/entity/Q21084429>	12th United Kingdom Parliament	<http://www.wikidata.org/entity/Q7567414>	South Hampshire		nan	1835-01-06	<http://www.wikidata.org/entity/Q1834355>	1835 United Kingdom general election	1837-07-17	<http://www.wikidata.org/entity/Q741182>	dissolution of parliament
<http://www.wikidata.org/entity/Q11801663>	James Winter Scott	<http://www.wikidata.org/entity/Q21084429>	12th United Kingdom Parliament	<http://www.wikidata.org/entity/Q7055530>	North Hampshire		nan	1835-01-06	<http://www.wikidata.org/entity/Q1834355>	1835 United Kingdom general election	1837-07-17	<http://www.wikidata.org/entity/Q741182>	dissolution of parliament
<http://www.wikidata.org/entity/Q11801709>	Edward Clive	<http://www.wikidata.org/entity/Q21084429>	12th United Kingdom Parliament	<http://www.wikidata.org/entity/Q56185588>	Hereford		nan	1835-01-06	<http://www.wikidata.org/entity/Q1834355>	1835 United Kingdom general election	1837-07-17	<http://www.wikidata.org/entity/Q741182>	dissolution of parliament
<http://www.wikidata.org/entity/Q11801875>	John Bonfoy Rooper	<http://www.wikidata.org/entity/Q21084429>	12th United Kingdom Parliament	<http://www.wikidata.org/entity/Q42298201>	Huntingdonshire		nan	1835-01-06	<http://www.wikidata.org/entity/Q1834355>	1835 United Kingdom general election	1837-07-17	<http://www.wikidata.org/entity/Q741182>	dissolution of parliament
<http://www.wikidata.org/entity/Q11803195>	John Henniker-Major, 4th Baron Henniker	<http://www.wikidata.org/entity/Q21084429>	12th United Kingdom Parliament	<http://www.wikidata.org/entity/Q5329450>	East Suffolk		nan	1835-01-06	<http://www.wikidata.org/entity/Q1834355>	1835 United Kingdom general election	1837-07-17	<http://www.wikidata.org/entity/Q741182>	dissolution of parliament
<http://www.wikidata.org/entity/Q11803607>	Paul Methuen, 1st Baron Methuen	<http://www.wikidata.org/entity/Q21084429>	12th United Kingdom Parliament	<http://www.wikidata.org/entity/Q47413158>	Wiltshire Northern		nan	1835-01-06	<http://www.wikidata.org/entity/Q1834355>	1835 United Kingdom general election	1837-07-17	<http://www.wikidata.org/entity/Q741182>	dissolution of parliament
<http://www.wikidata.org/entity/Q11803732>	Sir Thomas Winnington, 4th Baronet	<http://www.wikidata.org/entity/Q21084429>	12th United Kingdom Parliament	<http://www.wikidata.org/entity/Q4899742>	Bewdley		nan	1835-01-06	<http://www.wikidata.org/entity/Q1834355>	1835 United Kingdom general election	1837-07-17	<http://www.wikidata.org/entity/Q741182>	dissolution of parliament
<http://www.wikidata.org/entity/Q12066115>	Sir Frederick Pollock, 1st Baronet	<http://www.wikidata.org/entity/Q21084429>	12th United Kingdom Parliament	<http://www.wikidata.org/entity/Q56185590>	Huntingdon		nan	1835-01-06	<http://www.wikidata.org/entity/Q1834355>	1835 United Kingdom general election	1837-07-17	<http://www.wikidata.org/entity/Q741182>	dissolution of parliament
<http://www.wikidata.org/entity/Q1230504>	Winthrop Mackworth Praed		nan	<http://www.wikidata.org/entity/Q1072660>	Great Yarmouth		nan	1835-01-06	<http://www.wikidata.org/entity/Q1834355>	1835 United Kingdom general election	1837-07-17	<http://www.wikidata.org/entity/Q741182>	dissolution of parliament
<http://www.wikidata.org/entity/Q1292752>	Edward Joshua Cooper	<http://www.wikidata.org/entity/Q21084429>	12th United Kingdom Parliament	<http://www.wikidata.org/entity/Q7540496>	Sligo County		nan	1835-01-06	<http://www.wikidata.org/entity/Q1834355>	1835 United Kingdom general election	1837-07-17	<http://www.wikidata.org/entity/Q741182>	dissolution of parliament
<http://www.wikidata.org/entity/Q13132369>	William Owen Stanley	<http://www.wikidata.org/entity/Q21084429>	12th United Kingdom Parliament	<http://www.wikidata.org/entity/Q750661>	Ynys Môn		nan	1837-02-23	<http://www.wikidata.org/entity/Q7864918>	UK Parliamentary by-election	1837-07-17	<http://www.wikidata.org/entity/Q741182>	dissolution of parliament
<http://www.wikidata.org/entity/Q13529896>	William Feilden	<http://www.wikidata.org/entity/Q21084429>	12th United Kingdom Parliament	<http://www.wikidata.org/entity/Q43291394>	Blackburn		nan	1835-01-06	<http://www.wikidata.org/entity/Q1834355>	1835 United Kingdom general election	1837-07-17	<http://www.wikidata.org/entity/Q741182>	dissolution of parliament
<http://www.wikidata.org/entity/Q13529907>	Sir William Geary, 3rd Baronet	<http://www.wikidata.org/entity/Q21084429>	12th United Kingdom Parliament	<http://www.wikidata.org/entity/Q7985607>	West Kent	<http://www.wikidata.org/entity/Q9626>	Conservative Party	1835-01-06	<http://www.wikidata.org/entity/Q1834355>	1835 United Kingdom general election	1837-07-17	<http://www.wikidata.org/entity/Q741182>	dissolution of parliament
