mp_ref	mp	term_ref	term	constituency_ref	constituency	party_ref	party	start	election_ref	election	end	cause_ref	cause
<http://www.wikidata.org/entity/Q1066568>	Charles Sibthorp	<http://www.wikidata.org/entity/Q21084430>	13th United Kingdom Parliament	<http://www.wikidata.org/entity/Q56185599>	Lincoln		nan	1837-07-24	<http://www.wikidata.org/entity/Q2037966>	1837 United Kingdom general election	1841-06-23	<http://www.wikidata.org/entity/Q741182>	dissolution of parliament
<http://www.wikidata.org/entity/Q11309157>	James Duff, 5th Earl Fife	<http://www.wikidata.org/entity/Q21084430>	13th United Kingdom Parliament	<http://www.wikidata.org/entity/Q4854880>	Banffshire		nan	1837-07-24	<http://www.wikidata.org/entity/Q2037966>	1837 United Kingdom general election	1841-06-23	<http://www.wikidata.org/entity/Q741182>	dissolution of parliament
<http://www.wikidata.org/entity/Q1149445>	Francis Egerton, 1st Earl of Ellesmere	<http://www.wikidata.org/entity/Q21084430>	13th United Kingdom Parliament	<http://www.wikidata.org/entity/Q56189369>	South Lancashire		nan	1837-07-24	<http://www.wikidata.org/entity/Q2037966>	1837 United Kingdom general election	1841-06-23	<http://www.wikidata.org/entity/Q741182>	dissolution of parliament
<http://www.wikidata.org/entity/Q11801634>	John Willis Fleming	<http://www.wikidata.org/entity/Q21084430>	13th United Kingdom Parliament	<http://www.wikidata.org/entity/Q7567414>	South Hampshire		nan	1837-07-24	<http://www.wikidata.org/entity/Q2037966>	1837 United Kingdom general election	1841-06-23	<http://www.wikidata.org/entity/Q741182>	dissolution of parliament
<http://www.wikidata.org/entity/Q11801709>	Edward Clive	<http://www.wikidata.org/entity/Q21084430>	13th United Kingdom Parliament	<http://www.wikidata.org/entity/Q56185588>	Hereford		nan	1837-07-24	<http://www.wikidata.org/entity/Q2037966>	1837 United Kingdom general election	1841-06-23	<http://www.wikidata.org/entity/Q741182>	dissolution of parliament
<http://www.wikidata.org/entity/Q11802984>	Robert Aglionby Slaney	<http://www.wikidata.org/entity/Q21084430>	13th United Kingdom Parliament	<http://www.wikidata.org/entity/Q56185616>	Shrewsbury		nan	1837-07-24	<http://www.wikidata.org/entity/Q2037966>	1837 United Kingdom general election	1841-06-23	<http://www.wikidata.org/entity/Q741182>	dissolution of parliament
<http://www.wikidata.org/entity/Q11803195>	John Henniker-Major, 4th Baron Henniker	<http://www.wikidata.org/entity/Q21084430>	13th United Kingdom Parliament	<http://www.wikidata.org/entity/Q5329450>	East Suffolk		nan	1837-07-24	<http://www.wikidata.org/entity/Q2037966>	1837 United Kingdom general election	1841-06-23	<http://www.wikidata.org/entity/Q741182>	dissolution of parliament
<http://www.wikidata.org/entity/Q11803732>	Sir Thomas Winnington, 4th Baronet	<http://www.wikidata.org/entity/Q21084430>	13th United Kingdom Parliament	<http://www.wikidata.org/entity/Q4899742>	Bewdley		nan	1837-07-24	<http://www.wikidata.org/entity/Q2037966>	1837 United Kingdom general election	1841-06-23	<http://www.wikidata.org/entity/Q741182>	dissolution of parliament
<http://www.wikidata.org/entity/Q11806927>	Henry Home-Drummond	<http://www.wikidata.org/entity/Q21084430>	13th United Kingdom Parliament	<http://www.wikidata.org/entity/Q7170933>	Perthshire		nan	1840-03-09	<http://www.wikidata.org/entity/Q7864918>	UK Parliamentary by-election	1841-06-23	<http://www.wikidata.org/entity/Q741182>	dissolution of parliament
<http://www.wikidata.org/entity/Q12066115>	Sir Frederick Pollock, 1st Baronet	<http://www.wikidata.org/entity/Q21084430>	13th United Kingdom Parliament	<http://www.wikidata.org/entity/Q56185590>	Huntingdon		nan	1837-07-24	<http://www.wikidata.org/entity/Q2037966>	1837 United Kingdom general election	1841-06-23	<http://www.wikidata.org/entity/Q741182>	dissolution of parliament
<http://www.wikidata.org/entity/Q1230504>	Winthrop Mackworth Praed	<http://www.wikidata.org/entity/Q21084430>	13th United Kingdom Parliament	<http://www.wikidata.org/entity/Q56189384>	Aylesbury		nan	1837-07-24	<http://www.wikidata.org/entity/Q2037966>	1837 United Kingdom general election	1839-07-15	<http://www.wikidata.org/entity/Q5247364>	death in office
<http://www.wikidata.org/entity/Q1292752>	Edward Joshua Cooper	<http://www.wikidata.org/entity/Q21084430>	13th United Kingdom Parliament	<http://www.wikidata.org/entity/Q7540496>	Sligo County		nan	1837-07-24	<http://www.wikidata.org/entity/Q2037966>	1837 United Kingdom general election	1841-06-23	<http://www.wikidata.org/entity/Q741182>	dissolution of parliament
<http://www.wikidata.org/entity/Q13132369>	William Owen Stanley	<http://www.wikidata.org/entity/Q21084430>	13th United Kingdom Parliament	<http://www.wikidata.org/entity/Q750661>	Ynys Môn		nan	1837-07-24	<http://www.wikidata.org/entity/Q2037966>	1837 United Kingdom general election	1841-06-23	<http://www.wikidata.org/entity/Q741182>	dissolution of parliament
<http://www.wikidata.org/entity/Q13529872>	Hugh Cholmondeley, 2nd Baron Delamere	<http://www.wikidata.org/entity/Q21084430>	13th United Kingdom Parliament	<http://www.wikidata.org/entity/Q5256623>	Denbighshire		nan	1840-01-30	<http://www.wikidata.org/entity/Q7864918>	UK Parliamentary by-election	1841-06-23	<http://www.wikidata.org/entity/Q741182>	dissolution of parliament
<http://www.wikidata.org/entity/Q13529896>	William Feilden	<http://www.wikidata.org/entity/Q21084430>	13th United Kingdom Parliament	<http://www.wikidata.org/entity/Q43291394>	Blackburn		nan	1837-07-24	<http://www.wikidata.org/entity/Q2037966>	1837 United Kingdom general election	1841-06-23	<http://www.wikidata.org/entity/Q741182>	dissolution of parliament
<http://www.wikidata.org/entity/Q13529907>	Sir William Geary, 3rd Baronet	<http://www.wikidata.org/entity/Q21084430>	13th United Kingdom Parliament	<http://www.wikidata.org/entity/Q7985607>	West Kent	<http://www.wikidata.org/entity/Q9626>	Conservative Party	1837-07-24	<http://www.wikidata.org/entity/Q2037966>	1837 United Kingdom general election	1838-02-24	<http://www.wikidata.org/entity/Q796919>	resignation
<http://www.wikidata.org/entity/Q13529913>	William Gordon	<http://www.wikidata.org/entity/Q21084430>	13th United Kingdom Parliament	<http://www.wikidata.org/entity/Q4667029>	Aberdeenshire		nan	1837-07-24	<http://www.wikidata.org/entity/Q2037966>	1837 United Kingdom general election	1841-06-23	<http://www.wikidata.org/entity/Q741182>	dissolution of parliament
<http://www.wikidata.org/entity/Q13529927>	George Harcourt	<http://www.wikidata.org/entity/Q21084430>	13th United Kingdom Parliament	<http://www.wikidata.org/entity/Q612645>	Oxfordshire		nan	1837-07-24	<http://www.wikidata.org/entity/Q2037966>	1837 United Kingdom general election	1841-06-23	<http://www.wikidata.org/entity/Q741182>	dissolution of parliament
<http://www.wikidata.org/entity/Q13530008>	Robert Nisbet-Hamilton	<http://www.wikidata.org/entity/Q21084430>	13th United Kingdom Parliament	<http://www.wikidata.org/entity/Q7055951>	North Lincolnshire		nan	1837-07-24	<http://www.wikidata.org/entity/Q2037966>	1837 United Kingdom general election	1841-06-23	<http://www.wikidata.org/entity/Q741182>	dissolution of parliament
<http://www.wikidata.org/entity/Q13530021>	Thomas Pemberton Leigh, 1st Baron Kingsdown	<http://www.wikidata.org/entity/Q21084430>	13th United Kingdom Parliament	<http://www.wikidata.org/entity/Q56189420>	Ripon		nan	1837-07-24	<http://www.wikidata.org/entity/Q2037966>	1837 United Kingdom general election	1841-06-23	<http://www.wikidata.org/entity/Q741182>	dissolution of parliament
<http://www.wikidata.org/entity/Q13530050>	Henry Stuart	<http://www.wikidata.org/entity/Q21084430>	13th United Kingdom Parliament	<http://www.wikidata.org/entity/Q56185629>	Bedford		nan	1837-07-25	<http://www.wikidata.org/entity/Q2037966>	1837 United Kingdom general election	1838-05-21		nan
<http://www.wikidata.org/entity/Q13530063>	Harry Spencer Waddington	<http://www.wikidata.org/entity/Q21084430>	13th United Kingdom Parliament	<http://www.wikidata.org/entity/Q26159921>	Western Division of Suffolk		nan	1838-05-07	<http://www.wikidata.org/entity/Q7864918>	UK Parliamentary by-election	1841-06-23	<http://www.wikidata.org/entity/Q741182>	dissolution of parliament
<http://www.wikidata.org/entity/Q1364848>	George Grote	<http://www.wikidata.org/entity/Q21084430>	13th United Kingdom Parliament	<http://www.wikidata.org/entity/Q56166278>	City of London		nan	1837-07-24	<http://www.wikidata.org/entity/Q2037966>	1837 United Kingdom general election	1841-06-23	<http://www.wikidata.org/entity/Q741182>	dissolution of parliament
<http://www.wikidata.org/entity/Q1369396>	Robert Steuart	<http://www.wikidata.org/entity/Q21084430>	13th United Kingdom Parliament	<http://www.wikidata.org/entity/Q5637662>	Haddington Burghs		nan	1837-07-24	<http://www.wikidata.org/entity/Q2037966>	1837 United Kingdom general election	1841-06-23	<http://www.wikidata.org/entity/Q741182>	dissolution of parliament
<http://www.wikidata.org/entity/Q138559>	William Bentinck	<http://www.wikidata.org/entity/Q21084430>	13th United Kingdom Parliament	<http://www.wikidata.org/entity/Q56166282>	Glasgow	<http://www.wikidata.org/entity/Q1687668>	Radicals	1837-07-24	<http://www.wikidata.org/entity/Q2037966>	1837 United Kingdom general election	1839-06-15	<http://www.wikidata.org/entity/Q796919>	resignation
<http://www.wikidata.org/entity/Q14945417>	Robert Grosvenor, 1st Baron Ebury	<http://www.wikidata.org/entity/Q21084430>	13th United Kingdom Parliament	<http://www.wikidata.org/entity/Q56189426>	City of Chester		nan	1837-07-24	<http://www.wikidata.org/entity/Q2037966>	1837 United Kingdom general election	1841-06-23	<http://www.wikidata.org/entity/Q741182>	dissolution of parliament
<http://www.wikidata.org/entity/Q15040004>	Stephen Woulfe	<http://www.wikidata.org/entity/Q21084430>	13th United Kingdom Parliament	<http://www.wikidata.org/entity/Q5048726>	Cashel		nan	1837-07-24	<http://www.wikidata.org/entity/Q2037966>	1837 United Kingdom general election	nan	<http://www.wikidata.org/entity/Q46993416>	appointed as a judge
<http://www.wikidata.org/entity/Q1506864>	George Anson	<http://www.wikidata.org/entity/Q21084430>	13th United Kingdom Parliament	<http://www.wikidata.org/entity/Q47517321>	Staffordshire Southern		nan	1837-07-24	<http://www.wikidata.org/entity/Q2037966>	1837 United Kingdom general election	1841-06-23	<http://www.wikidata.org/entity/Q741182>	dissolution of parliament
<http://www.wikidata.org/entity/Q1506865>	George Anson	<http://www.wikidata.org/entity/Q21084430>	13th United Kingdom Parliament	<http://www.wikidata.org/entity/Q56189362>	Lichfield		nan	1837-07-24	<http://www.wikidata.org/entity/Q2037966>	1837 United Kingdom general election	1841-06-23	<http://www.wikidata.org/entity/Q741182>	dissolution of parliament
<http://www.wikidata.org/entity/Q15433949>	Thomas Law Hodges	<http://www.wikidata.org/entity/Q21084430>	13th United Kingdom Parliament	<http://www.wikidata.org/entity/Q7985607>	West Kent		nan	1837-07-24	<http://www.wikidata.org/entity/Q2037966>	1837 United Kingdom general election	1841-06-23	<http://www.wikidata.org/entity/Q741182>	dissolution of parliament
<http://www.wikidata.org/entity/Q15437271>	Charles Edward Grey	<http://www.wikidata.org/entity/Q21084430>	13th United Kingdom Parliament	<http://www.wikidata.org/entity/Q7860529>	Tynemouth and North Shields		nan	1838-02-23	<http://www.wikidata.org/entity/Q56123417>	declared elected after an election petition	1841-06-23	<http://www.wikidata.org/entity/Q741182>	dissolution of parliament
<http://www.wikidata.org/entity/Q15443188>	Joseph Brotherton	<http://www.wikidata.org/entity/Q21084430>	13th United Kingdom Parliament	<http://www.wikidata.org/entity/Q56189357>	Salford		nan	1837-07-24	<http://www.wikidata.org/entity/Q2037966>	1837 United Kingdom general election	1841-06-23	<http://www.wikidata.org/entity/Q741182>	dissolution of parliament
<http://www.wikidata.org/entity/Q15452761>	John Abel Smith	<http://www.wikidata.org/entity/Q21084430>	13th United Kingdom Parliament	<http://www.wikidata.org/entity/Q56185655>	Chichester		nan	1837-07-24	<http://www.wikidata.org/entity/Q2037966>	1837 United Kingdom general election	1841-06-23	<http://www.wikidata.org/entity/Q741182>	dissolution of parliament
<http://www.wikidata.org/entity/Q15456236>	William Williams	<http://www.wikidata.org/entity/Q21084430>	13th United Kingdom Parliament	<http://www.wikidata.org/entity/Q56185582>	Coventry		nan	1837-07-24	<http://www.wikidata.org/entity/Q2037966>	1837 United Kingdom general election	1841-06-23	<http://www.wikidata.org/entity/Q741182>	dissolution of parliament
<http://www.wikidata.org/entity/Q15456270>	Hedworth Lambton	<http://www.wikidata.org/entity/Q21084430>	13th United Kingdom Parliament	<http://www.wikidata.org/entity/Q45595036>	Durham Northern		nan	1837-07-24	<http://www.wikidata.org/entity/Q2037966>	1837 United Kingdom general election	1841-06-23	<http://www.wikidata.org/entity/Q741182>	dissolution of parliament
<http://www.wikidata.org/entity/Q15456740>	John Jervis	<http://www.wikidata.org/entity/Q21084430>	13th United Kingdom Parliament	<http://www.wikidata.org/entity/Q56189426>	City of Chester		nan	1837-07-24	<http://www.wikidata.org/entity/Q2037966>	1837 United Kingdom general election	1841-06-23	<http://www.wikidata.org/entity/Q741182>	dissolution of parliament
<http://www.wikidata.org/entity/Q15460648>	Walter Long	<http://www.wikidata.org/entity/Q21084430>	13th United Kingdom Parliament	<http://www.wikidata.org/entity/Q47413158>	Wiltshire Northern		nan	1837-07-24	<http://www.wikidata.org/entity/Q2037966>	1837 United Kingdom general election	1841-06-23	<http://www.wikidata.org/entity/Q741182>	dissolution of parliament
<http://www.wikidata.org/entity/Q15503233>	Robert Wallace	<http://www.wikidata.org/entity/Q21084430>	13th United Kingdom Parliament	<http://www.wikidata.org/entity/Q5604345>	Greenock		nan	1837-07-24	<http://www.wikidata.org/entity/Q2037966>	1837 United Kingdom general election	1841-06-23	<http://www.wikidata.org/entity/Q741182>	dissolution of parliament
<http://www.wikidata.org/entity/Q15526135>	Henry Salwey	<http://www.wikidata.org/entity/Q21084430>	13th United Kingdom Parliament	<http://www.wikidata.org/entity/Q56189428>	Ludlow		nan	1837-07-24	<http://www.wikidata.org/entity/Q2037966>	1837 United Kingdom general election	1841-06-23	<http://www.wikidata.org/entity/Q741182>	dissolution of parliament
<http://www.wikidata.org/entity/Q15526925>	James Stewart	<http://www.wikidata.org/entity/Q21084430>	13th United Kingdom Parliament	<http://www.wikidata.org/entity/Q56189451>	Honiton		nan	1837-08-25	<http://www.wikidata.org/entity/Q7864918>	UK Parliamentary by-election	1841-06-23	<http://www.wikidata.org/entity/Q741182>	dissolution of parliament
<http://www.wikidata.org/entity/Q15646836>	George Sinclair	<http://www.wikidata.org/entity/Q21084430>	13th United Kingdom Parliament	<http://www.wikidata.org/entity/Q5017862>	Caithness		nan	1837-07-24	<http://www.wikidata.org/entity/Q2037966>	1837 United Kingdom general election	1841-06-23	<http://www.wikidata.org/entity/Q741182>	dissolution of parliament
<http://www.wikidata.org/entity/Q157259>	John Russell, 1st Earl Russell	<http://www.wikidata.org/entity/Q21084430>	13th United Kingdom Parliament	<http://www.wikidata.org/entity/Q56189352>	Stroud	<http://www.wikidata.org/entity/Q108700>	Whigs	1837-07-24	<http://www.wikidata.org/entity/Q2037966>	1837 United Kingdom general election	1841-06-23	<http://www.wikidata.org/entity/Q741182>	dissolution of parliament
<http://www.wikidata.org/entity/Q157691>	Edward Ellice	<http://www.wikidata.org/entity/Q21084430>	13th United Kingdom Parliament	<http://www.wikidata.org/entity/Q56185582>	Coventry		nan	1837-07-24	<http://www.wikidata.org/entity/Q2037966>	1837 United Kingdom general election	1841-06-23	<http://www.wikidata.org/entity/Q741182>	dissolution of parliament
<http://www.wikidata.org/entity/Q15815164>	Henry Winnington	<http://www.wikidata.org/entity/Q21084430>	13th United Kingdom Parliament	<http://www.wikidata.org/entity/Q47412653>	Worcestershire Western		nan	1837-07-24	<http://www.wikidata.org/entity/Q2037966>	1837 United Kingdom general election	1841-06-23	<http://www.wikidata.org/entity/Q741182>	dissolution of parliament
<http://www.wikidata.org/entity/Q15821520>	John Westenra	<http://www.wikidata.org/entity/Q21084430>	13th United Kingdom Parliament	<http://www.wikidata.org/entity/Q45370367>	King's County		nan	1837-07-24	<http://www.wikidata.org/entity/Q2037966>	1837 United Kingdom general election	1841-06-23	<http://www.wikidata.org/entity/Q741182>	dissolution of parliament
<http://www.wikidata.org/entity/Q15990054>	Henry Hope	<http://www.wikidata.org/entity/Q21084430>	13th United Kingdom Parliament	<http://www.wikidata.org/entity/Q56189411>	Gloucester		nan	1837-07-24	<http://www.wikidata.org/entity/Q2037966>	1837 United Kingdom general election	1841-06-23	<http://www.wikidata.org/entity/Q741182>	dissolution of parliament
