mp_ref	mp	term_ref	term	constituency_ref	constituency	party_ref	party	start	election_ref	election	end	cause_ref	cause
<http://www.wikidata.org/entity/Q106618>	Henry Campbell-Bannerman	<http://www.wikidata.org/entity/Q21084438>	21st United Kingdom Parliament	<http://www.wikidata.org/entity/Q7617564>	Stirling Burghs	<http://www.wikidata.org/entity/Q622441>	Liberal Party	1874-01-31	<http://www.wikidata.org/entity/Q918351>	1874 United Kingdom general election	1880-03-24	<http://www.wikidata.org/entity/Q741182>	dissolution of parliament
<http://www.wikidata.org/entity/Q11283925>	William Deedes	<http://www.wikidata.org/entity/Q21084438>	21st United Kingdom Parliament	<http://www.wikidata.org/entity/Q5328697>	East Kent		nan	1876-07-26	<http://www.wikidata.org/entity/Q16834348>	1876 East Kent by-election	1880-03-24	<http://www.wikidata.org/entity/Q741182>	dissolution of parliament
<http://www.wikidata.org/entity/Q1141134>	Isaac Butt	<http://www.wikidata.org/entity/Q21084438>	21st United Kingdom Parliament	<http://www.wikidata.org/entity/Q56189380>	Limerick City		nan	1874-01-31	<http://www.wikidata.org/entity/Q918351>	1874 United Kingdom general election	1879-05-05	<http://www.wikidata.org/entity/Q5247364>	death in office
<http://www.wikidata.org/entity/Q1147508>	Evelyn Ashley	<http://www.wikidata.org/entity/Q21084438>	21st United Kingdom Parliament	<http://www.wikidata.org/entity/Q56189397>	Poole		nan	1874-05-26	<http://www.wikidata.org/entity/Q7864918>	UK Parliamentary by-election	1880-03-24	<http://www.wikidata.org/entity/Q741182>	dissolution of parliament
<http://www.wikidata.org/entity/Q11708915>	Henry James, 1st Baron James of Hereford	<http://www.wikidata.org/entity/Q21084438>	21st United Kingdom Parliament	<http://www.wikidata.org/entity/Q56185621>	Taunton	<http://www.wikidata.org/entity/Q622441>	Liberal Party	1874-01-31	<http://www.wikidata.org/entity/Q918351>	1874 United Kingdom general election	1880-03-24	<http://www.wikidata.org/entity/Q741182>	dissolution of parliament
<http://www.wikidata.org/entity/Q11762579>	Lord Henry Somerset	<http://www.wikidata.org/entity/Q21084438>	21st United Kingdom Parliament	<http://www.wikidata.org/entity/Q6901156>	Monmouthshire		nan	1874-01-31	<http://www.wikidata.org/entity/Q918351>	1874 United Kingdom general election	1880-03-24	<http://www.wikidata.org/entity/Q741182>	dissolution of parliament
<http://www.wikidata.org/entity/Q11800905>	John Tremayne	<http://www.wikidata.org/entity/Q21084438>	21st United Kingdom Parliament	<http://www.wikidata.org/entity/Q5328170>	East Cornwall		nan	1874-01-31	<http://www.wikidata.org/entity/Q918351>	1874 United Kingdom general election	1880-03-24	<http://www.wikidata.org/entity/Q741182>	dissolution of parliament
<http://www.wikidata.org/entity/Q11803033>	Ralph Neville-Grenville	<http://www.wikidata.org/entity/Q21084438>	21st United Kingdom Parliament	<http://www.wikidata.org/entity/Q6840997>	Mid Somerset		nan	1874-01-31	<http://www.wikidata.org/entity/Q918351>	1874 United Kingdom general election	1878-03-08	<http://www.wikidata.org/entity/Q796919>	resignation
<http://www.wikidata.org/entity/Q11803339>	James Clifton Brown	<http://www.wikidata.org/entity/Q21084438>	21st United Kingdom Parliament	<http://www.wikidata.org/entity/Q42967606>	Horsham		nan	1876-02-29	<http://www.wikidata.org/entity/Q7864918>	UK Parliamentary by-election	1880-03-24	<http://www.wikidata.org/entity/Q741182>	dissolution of parliament
<http://www.wikidata.org/entity/Q11806952>	Henry Munro-Butler-Johnstone	<http://www.wikidata.org/entity/Q21084438>	21st United Kingdom Parliament	<http://www.wikidata.org/entity/Q56189405>	Canterbury		nan	1874-01-31	<http://www.wikidata.org/entity/Q918351>	1874 United Kingdom general election	1878-02-25	<http://www.wikidata.org/entity/Q796919>	resignation
<http://www.wikidata.org/entity/Q12066246>	Henry Portman, 2nd Viscount Portman	<http://www.wikidata.org/entity/Q21084438>	21st United Kingdom Parliament	<http://www.wikidata.org/entity/Q5298834>	Dorset		nan	1874-01-31	<http://www.wikidata.org/entity/Q918351>	1874 United Kingdom general election	1880-03-24	<http://www.wikidata.org/entity/Q741182>	dissolution of parliament
<http://www.wikidata.org/entity/Q12072266>	Henry Vivian, 1st Baron Swansea	<http://www.wikidata.org/entity/Q21084438>	21st United Kingdom Parliament	<http://www.wikidata.org/entity/Q5566551>	Glamorganshire		nan	1874-01-31	<http://www.wikidata.org/entity/Q918351>	1874 United Kingdom general election	1880-03-24	<http://www.wikidata.org/entity/Q741182>	dissolution of parliament
<http://www.wikidata.org/entity/Q1217502>	Hugh Childers	<http://www.wikidata.org/entity/Q21084438>	21st United Kingdom Parliament	<http://www.wikidata.org/entity/Q56189466>	Pontefract		nan	1874-01-31	<http://www.wikidata.org/entity/Q918351>	1874 United Kingdom general election	1880-03-24	<http://www.wikidata.org/entity/Q741182>	dissolution of parliament
<http://www.wikidata.org/entity/Q1282069>	Edward Gordon, Baron Gordon of Drumearn	<http://www.wikidata.org/entity/Q21084438>	21st United Kingdom Parliament	<http://www.wikidata.org/entity/Q5566965>	Glasgow and Aberdeen Universities		nan	1874-01-31	<http://www.wikidata.org/entity/Q918351>	1874 United Kingdom general election	1876-10-06	<http://www.wikidata.org/entity/Q46993416>	appointed as a judge
<http://www.wikidata.org/entity/Q1286201>	Edmund Dwyer Gray	<http://www.wikidata.org/entity/Q21084438>	21st United Kingdom Parliament	<http://www.wikidata.org/entity/Q7808888>	Tipperary		nan	1877-05-15	<http://www.wikidata.org/entity/Q7864918>	UK Parliamentary by-election	1880-03-24	<http://www.wikidata.org/entity/Q741182>	dissolution of parliament
<http://www.wikidata.org/entity/Q1314450>	Sir George Elliot, 1st Baronet	<http://www.wikidata.org/entity/Q21084438>	21st United Kingdom Parliament	<http://www.wikidata.org/entity/Q45595036>	Durham Northern		nan	1874-06-22	<http://www.wikidata.org/entity/Q7864918>	UK Parliamentary by-election	1880-03-24	<http://www.wikidata.org/entity/Q741182>	dissolution of parliament
<http://www.wikidata.org/entity/Q13529877>	Henry Cockayne-Cust	<http://www.wikidata.org/entity/Q21084438>	21st United Kingdom Parliament	<http://www.wikidata.org/entity/Q56189484>	Grantham		nan	1874-01-31	<http://www.wikidata.org/entity/Q918351>	1874 United Kingdom general election	1880-03-24	<http://www.wikidata.org/entity/Q741182>	dissolution of parliament
