mp_ref	mp	term_ref	term	constituency_ref	constituency	party_ref	party	start	election_ref	election	end	cause_ref	cause
<http://www.wikidata.org/entity/Q1063662>	Malcolm Barclay-Harvey	<http://www.wikidata.org/entity/Q21084454>	37th United Kingdom Parliament	<http://www.wikidata.org/entity/Q6410461>	Kincardine and Western Aberdeenshire	<http://www.wikidata.org/entity/Q9626>	Conservative Party	1935-11-14	<http://www.wikidata.org/entity/Q918378>	1935 United Kingdom general election	1939-03-08	<http://www.wikidata.org/entity/Q796919>	resignation
<http://www.wikidata.org/entity/Q11327314>	Herbert Wragg	<http://www.wikidata.org/entity/Q21084454>	37th United Kingdom Parliament	<http://www.wikidata.org/entity/Q4884651>	Belper	<http://www.wikidata.org/entity/Q9626>	Conservative Party	1935-11-14	<http://www.wikidata.org/entity/Q918378>	1935 United Kingdom general election	1945-06-15	<http://www.wikidata.org/entity/Q741182>	dissolution of parliament
<http://www.wikidata.org/entity/Q1170763>	John Graham Kerr	<http://www.wikidata.org/entity/Q21084454>	37th United Kingdom Parliament	<http://www.wikidata.org/entity/Q5150880>	Combined Scottish Universities	<http://www.wikidata.org/entity/Q7886824>	Unionist Party	1935-11-14	<http://www.wikidata.org/entity/Q918378>	1935 United Kingdom general election	1945-06-15	<http://www.wikidata.org/entity/Q741182>	dissolution of parliament
<http://www.wikidata.org/entity/Q11722962>	Ness Edwards	<http://www.wikidata.org/entity/Q21084454>	37th United Kingdom Parliament	<http://www.wikidata.org/entity/Q3238808>	Caerphilly	<http://www.wikidata.org/entity/Q9630>	Labour Party	1939-07-04	<http://www.wikidata.org/entity/Q7864918>	UK Parliamentary by-election	1945-06-15	<http://www.wikidata.org/entity/Q741182>	dissolution of parliament
<http://www.wikidata.org/entity/Q11799507>	Osbert Peake, 1st Viscount Ingleby	<http://www.wikidata.org/entity/Q21084454>	37th United Kingdom Parliament	<http://www.wikidata.org/entity/Q6516050>	Leeds North	<http://www.wikidata.org/entity/Q9626>	Conservative Party	1935-11-14	<http://www.wikidata.org/entity/Q918378>	1935 United Kingdom general election	1945-06-15	<http://www.wikidata.org/entity/Q741182>	dissolution of parliament
<http://www.wikidata.org/entity/Q11802791>	Hugh Seely, 1st Baron Sherwood	<http://www.wikidata.org/entity/Q21084454>	37th United Kingdom Parliament	<http://www.wikidata.org/entity/Q1072626>	Berwick-upon-Tweed	<http://www.wikidata.org/entity/Q622441>	Liberal Party	1935-11-14	<http://www.wikidata.org/entity/Q918378>	1935 United Kingdom general election	1941-07-11	<http://www.wikidata.org/entity/Q796919>	resignation
<http://www.wikidata.org/entity/Q11998073>	Robert Bourne	<http://www.wikidata.org/entity/Q21084454>	37th United Kingdom Parliament	<http://www.wikidata.org/entity/Q7115222>	Oxford	<http://www.wikidata.org/entity/Q9626>	Conservative Party	1935-11-14	<http://www.wikidata.org/entity/Q918378>	1935 United Kingdom general election	1938-08-07	<http://www.wikidata.org/entity/Q5247364>	death in office
<http://www.wikidata.org/entity/Q122522>	Leslie Hore-Belisha	<http://www.wikidata.org/entity/Q21084454>	37th United Kingdom Parliament	<http://www.wikidata.org/entity/Q4164454>	Plymouth Devonport	<http://www.wikidata.org/entity/Q1354368>	National Liberal Party	1935-11-14	<http://www.wikidata.org/entity/Q918378>	1935 United Kingdom general election	1945-06-15	<http://www.wikidata.org/entity/Q741182>	dissolution of parliament
<http://www.wikidata.org/entity/Q12356771>	Will Thorne	<http://www.wikidata.org/entity/Q21084454>	37th United Kingdom Parliament	<http://www.wikidata.org/entity/Q7200802>	Plaistow	<http://www.wikidata.org/entity/Q9630>	Labour Party	1935-11-14	<http://www.wikidata.org/entity/Q918378>	1935 United Kingdom general election	1945-06-15	<http://www.wikidata.org/entity/Q741182>	dissolution of parliament
<http://www.wikidata.org/entity/Q1241043>	Robert Horne, 1st Viscount Horne of Slamannan	<http://www.wikidata.org/entity/Q21084454>	37th United Kingdom Parliament	<http://www.wikidata.org/entity/Q745443>	Glasgow Hillhead	<http://www.wikidata.org/entity/Q7886824>	Unionist Party	1935-11-14	<http://www.wikidata.org/entity/Q918378>	1935 United Kingdom general election	1937-05-25	<http://www.wikidata.org/entity/Q796919>	resignation
<http://www.wikidata.org/entity/Q1241117>	Eustace Percy, 1st Baron Percy of Newcastle	<http://www.wikidata.org/entity/Q21084454>	37th United Kingdom Parliament	<http://www.wikidata.org/entity/Q5680260>	Hastings	<http://www.wikidata.org/entity/Q9626>	Conservative Party	1935-11-14	<http://www.wikidata.org/entity/Q918378>	1935 United Kingdom general election	1937-10-26	<http://www.wikidata.org/entity/Q796919>	resignation
<http://www.wikidata.org/entity/Q12411364>	Richard Law, 1st Baron Coleraine	<http://www.wikidata.org/entity/Q21084454>	37th United Kingdom Parliament	<http://www.wikidata.org/entity/Q6413659>	Kingston upon Hull South West	<http://www.wikidata.org/entity/Q9626>	Conservative Party	1935-11-14	<http://www.wikidata.org/entity/Q918378>	1935 United Kingdom general election	1945-06-15	<http://www.wikidata.org/entity/Q741182>	dissolution of parliament
<http://www.wikidata.org/entity/Q1263302>	Sir Fitzroy MacLean, 1st Baronet	<http://www.wikidata.org/entity/Q21084454>	37th United Kingdom Parliament	<http://www.wikidata.org/entity/Q6483099>	Lancaster	<http://www.wikidata.org/entity/Q9626>	Conservative Party	1941-10-15	<http://www.wikidata.org/entity/Q7864918>	UK Parliamentary by-election	1945-06-15	<http://www.wikidata.org/entity/Q741182>	dissolution of parliament
<http://www.wikidata.org/entity/Q1279583>	Tom Driberg	<http://www.wikidata.org/entity/Q21084454>	37th United Kingdom Parliament	<http://www.wikidata.org/entity/Q56189424>	Maldon	<http://www.wikidata.org/entity/Q327591>	independent politician	1942-06-25	<http://www.wikidata.org/entity/Q6742883>	Maldon by-election, 1942	1945-06-15	<http://www.wikidata.org/entity/Q741182>	dissolution of parliament
<http://www.wikidata.org/entity/Q128976>	Alec Douglas-Home	<http://www.wikidata.org/entity/Q21084454>	37th United Kingdom Parliament	<http://www.wikidata.org/entity/Q11797259>	Lanark	<http://www.wikidata.org/entity/Q7886824>	Unionist Party	1935-11-14	<http://www.wikidata.org/entity/Q918378>	1935 United Kingdom general election	1945-06-15	<http://www.wikidata.org/entity/Q741182>	dissolution of parliament
<http://www.wikidata.org/entity/Q128985>	Harold Macmillan	<http://www.wikidata.org/entity/Q21084454>	37th United Kingdom Parliament	<http://www.wikidata.org/entity/Q7618214>	Stockton-on-Tees	<http://www.wikidata.org/entity/Q9626>	Conservative Party	1935-11-14	<http://www.wikidata.org/entity/Q918378>	1935 United Kingdom general election	1945-06-15	<http://www.wikidata.org/entity/Q741182>	dissolution of parliament
<http://www.wikidata.org/entity/Q128995>	Anthony Eden	<http://www.wikidata.org/entity/Q21084454>	37th United Kingdom Parliament	<http://www.wikidata.org/entity/Q874946>	Warwick and Leamington	<http://www.wikidata.org/entity/Q9626>	Conservative Party	1935-11-14	<http://www.wikidata.org/entity/Q918378>	1935 United Kingdom general election	1945-06-15	<http://www.wikidata.org/entity/Q741182>	dissolution of parliament
<http://www.wikidata.org/entity/Q129006>	Clement Attlee	<http://www.wikidata.org/entity/Q21084454>	37th United Kingdom Parliament	<http://www.wikidata.org/entity/Q6549174>	Limehouse	<http://www.wikidata.org/entity/Q9630>	Labour Party	1935-11-14	<http://www.wikidata.org/entity/Q918378>	1935 United Kingdom general election	1945-06-15	<http://www.wikidata.org/entity/Q741182>	dissolution of parliament
<http://www.wikidata.org/entity/Q134982>	David Lloyd George	<http://www.wikidata.org/entity/Q21084454>	37th United Kingdom Parliament	<http://www.wikidata.org/entity/Q3399026>	Caernarfon	<http://www.wikidata.org/entity/Q622441>	Liberal Party	1935-11-14	<http://www.wikidata.org/entity/Q918378>	1935 United Kingdom general election	1945-02-12	<http://www.wikidata.org/entity/Q36717319>	elevation to the House of Lords
<http://www.wikidata.org/entity/Q13529737>	Vyvyan Adams	<http://www.wikidata.org/entity/Q21084454>	37th United Kingdom Parliament	<http://www.wikidata.org/entity/Q1075428>	Leeds West	<http://www.wikidata.org/entity/Q9626>	Conservative Party	1935-11-14	<http://www.wikidata.org/entity/Q918378>	1935 United Kingdom general election	1945-06-15	<http://www.wikidata.org/entity/Q741182>	dissolution of parliament
<http://www.wikidata.org/entity/Q13529864>	Sir Robert Cary, 1st Baronet	<http://www.wikidata.org/entity/Q21084454>	37th United Kingdom Parliament	<http://www.wikidata.org/entity/Q5332195>	Eccles	<http://www.wikidata.org/entity/Q9626>	Conservative Party	1935-11-14	<http://www.wikidata.org/entity/Q918378>	1935 United Kingdom general election	1945-06-15	<http://www.wikidata.org/entity/Q741182>	dissolution of parliament
<http://www.wikidata.org/entity/Q13529884>	William Craven-Ellis	<http://www.wikidata.org/entity/Q21084454>	37th United Kingdom Parliament	<http://www.wikidata.org/entity/Q11797285>	Southampton	<http://www.wikidata.org/entity/Q9626>	Conservative Party	1935-11-14	<http://www.wikidata.org/entity/Q918378>	1935 United Kingdom general election	1945-06-15	<http://www.wikidata.org/entity/Q741182>	dissolution of parliament
<http://www.wikidata.org/entity/Q13529901>	Ian Fraser, Baron Fraser of Lonsdale	<http://www.wikidata.org/entity/Q21084454>	37th United Kingdom Parliament	<http://www.wikidata.org/entity/Q7595041>	St Pancras North	<http://www.wikidata.org/entity/Q9626>	Conservative Party	1935-11-14	<http://www.wikidata.org/entity/Q918378>	1935 United Kingdom general election	1937-01-14	<http://www.wikidata.org/entity/Q796919>	resignation
<http://www.wikidata.org/entity/Q13529901>	Ian Fraser, Baron Fraser of Lonsdale	<http://www.wikidata.org/entity/Q21084454>	37th United Kingdom Parliament	<http://www.wikidata.org/entity/Q6674824>	Lonsdale	<http://www.wikidata.org/entity/Q9626>	Conservative Party	1940-04-12	<http://www.wikidata.org/entity/Q16910306>	1940 Lonsdale by-election	1945-06-15	<http://www.wikidata.org/entity/Q741182>	dissolution of parliament
<http://www.wikidata.org/entity/Q13529902>	Francis Fremantle	<http://www.wikidata.org/entity/Q21084454>	37th United Kingdom Parliament	<http://www.wikidata.org/entity/Q988569>	St Albans	<http://www.wikidata.org/entity/Q9626>	Conservative Party	1935-11-14	<http://www.wikidata.org/entity/Q918378>	1935 United Kingdom general election	1943-08-26	<http://www.wikidata.org/entity/Q5247364>	death in office
<http://www.wikidata.org/entity/Q13529910>	Ralph Glyn, 1st Baron Glyn	<http://www.wikidata.org/entity/Q21084454>	37th United Kingdom Parliament	<http://www.wikidata.org/entity/Q4667818>	Abingdon	<http://www.wikidata.org/entity/Q9626>	Conservative Party	1935-11-14	<http://www.wikidata.org/entity/Q918378>	1935 United Kingdom general election	1945-06-15	<http://www.wikidata.org/entity/Q741182>	dissolution of parliament
<http://www.wikidata.org/entity/Q13529922>	Sir George Hamilton, 1st Baronet	<http://www.wikidata.org/entity/Q21084454>	37th United Kingdom Parliament	<http://www.wikidata.org/entity/Q5997728>	Ilford	<http://www.wikidata.org/entity/Q9626>	Conservative Party	1935-11-14	<http://www.wikidata.org/entity/Q918378>	1935 United Kingdom general election	1937-06-07	<http://www.wikidata.org/entity/Q796919>	resignation
<http://www.wikidata.org/entity/Q13529925>	Ian Hannah	<http://www.wikidata.org/entity/Q21084454>	37th United Kingdom Parliament	<http://www.wikidata.org/entity/Q4913608>	Bilston	<http://www.wikidata.org/entity/Q9626>	Conservative Party	1935-11-14	<http://www.wikidata.org/entity/Q918378>	1935 United Kingdom general election	1944-07-07	<http://www.wikidata.org/entity/Q5247364>	death in office
<http://www.wikidata.org/entity/Q13529926>	Patrick Hannon	<http://www.wikidata.org/entity/Q21084454>	37th United Kingdom Parliament	<http://www.wikidata.org/entity/Q4916756>	Birmingham Moseley	<http://www.wikidata.org/entity/Q9626>	Conservative Party	1935-11-14	<http://www.wikidata.org/entity/Q918378>	1935 United Kingdom general election	1945-06-15	<http://www.wikidata.org/entity/Q741182>	dissolution of parliament
<http://www.wikidata.org/entity/Q13529931>	John Haslam	<http://www.wikidata.org/entity/Q21084454>	37th United Kingdom Parliament	<http://www.wikidata.org/entity/Q4940138>	Bolton	<http://www.wikidata.org/entity/Q9626>	Conservative Party	1935-11-14	<http://www.wikidata.org/entity/Q918378>	1935 United Kingdom general election	1940-05-21	<http://www.wikidata.org/entity/Q5247364>	death in office
<http://www.wikidata.org/entity/Q13529935>	John Herbert	<http://www.wikidata.org/entity/Q21084454>	37th United Kingdom Parliament	<http://www.wikidata.org/entity/Q1053353>	Monmouth	<http://www.wikidata.org/entity/Q9626>	Conservative Party	1935-11-14	<http://www.wikidata.org/entity/Q918378>	1935 United Kingdom general election	1939-07-01	<http://www.wikidata.org/entity/Q796919>	resignation
<http://www.wikidata.org/entity/Q13529939>	Thomas Hewlett	<http://www.wikidata.org/entity/Q21084454>	37th United Kingdom Parliament	<http://www.wikidata.org/entity/Q11797268>	Manchester Exchange	<http://www.wikidata.org/entity/Q9626>	Conservative Party	1940-09-21	<http://www.wikidata.org/entity/Q7864918>	UK Parliamentary by-election	1945-06-15	<http://www.wikidata.org/entity/Q741182>	dissolution of parliament
<http://www.wikidata.org/entity/Q13529950>	Henry Hunloke	<http://www.wikidata.org/entity/Q21084454>	37th United Kingdom Parliament	<http://www.wikidata.org/entity/Q4120309>	West Derbyshire	<http://www.wikidata.org/entity/Q9626>	Conservative Party	1938-06-02	<http://www.wikidata.org/entity/Q7864918>	UK Parliamentary by-election	1944-01-24	<http://www.wikidata.org/entity/Q796919>	resignation
<http://www.wikidata.org/entity/Q13529963>	Joseph Lamb	<http://www.wikidata.org/entity/Q21084454>	37th United Kingdom Parliament	<http://www.wikidata.org/entity/Q43287479>	Stone	<http://www.wikidata.org/entity/Q9626>	Conservative Party	1935-11-14	<http://www.wikidata.org/entity/Q918378>	1935 United Kingdom general election	1945-06-15	<http://www.wikidata.org/entity/Q741182>	dissolution of parliament
<http://www.wikidata.org/entity/Q13529967>	John Lees-Jones	<http://www.wikidata.org/entity/Q21084454>	37th United Kingdom Parliament	<http://www.wikidata.org/entity/Q4120186>	Manchester Blackley	<http://www.wikidata.org/entity/Q9626>	Conservative Party	1935-11-14	<http://www.wikidata.org/entity/Q918378>	1935 United Kingdom general election	1945-06-15	<http://www.wikidata.org/entity/Q741182>	dissolution of parliament
<http://www.wikidata.org/entity/Q13529979>	Charles MacAndrew, 1st Baron MacAndrew	<http://www.wikidata.org/entity/Q21084454>	37th United Kingdom Parliament	<http://www.wikidata.org/entity/Q5002484>	Bute and Northern Ayrshire	<http://www.wikidata.org/entity/Q7886824>	Unionist Party	1935-11-14	<http://www.wikidata.org/entity/Q918378>	1935 United Kingdom general election	1945-06-15	<http://www.wikidata.org/entity/Q741182>	dissolution of parliament
