mp_ref	mp	term_ref	term	constituency_ref	constituency	party_ref	party	start	election_ref	election	end	cause_ref	cause
<http://www.wikidata.org/entity/Q106618>	Henry Campbell-Bannerman	<http://www.wikidata.org/entity/Q21084440>	23rd United Kingdom Parliament	<http://www.wikidata.org/entity/Q7617564>	Stirling Burghs	<http://www.wikidata.org/entity/Q622441>	Liberal Party	1885-11-24	<http://www.wikidata.org/entity/Q3397257>	1885 United Kingdom general election	1886-06-26	<http://www.wikidata.org/entity/Q741182>	dissolution of parliament
<http://www.wikidata.org/entity/Q11708915>	Henry James, 1st Baron James of Hereford	<http://www.wikidata.org/entity/Q21084440>	23rd United Kingdom Parliament	<http://www.wikidata.org/entity/Q5001072>	Bury	<http://www.wikidata.org/entity/Q622441>	Liberal Party	1885-11-24	<http://www.wikidata.org/entity/Q3397257>	1885 United Kingdom general election	1886-06-26	<http://www.wikidata.org/entity/Q741182>	dissolution of parliament
<http://www.wikidata.org/entity/Q11800502>	William George Mount	<http://www.wikidata.org/entity/Q21084440>	23rd United Kingdom Parliament	<http://www.wikidata.org/entity/Q1053007>	Newbury	<http://www.wikidata.org/entity/Q9626>	Conservative Party	1885-11-24	<http://www.wikidata.org/entity/Q3397257>	1885 United Kingdom general election	1886-06-26	<http://www.wikidata.org/entity/Q741182>	dissolution of parliament
<http://www.wikidata.org/entity/Q11802131>	George Blucher Heneage Marton	<http://www.wikidata.org/entity/Q21084440>	23rd United Kingdom Parliament	<http://www.wikidata.org/entity/Q6483099>	Lancaster		nan	1885-11-24	<http://www.wikidata.org/entity/Q3397257>	1885 United Kingdom general election	1886-06-26	<http://www.wikidata.org/entity/Q741182>	dissolution of parliament
<http://www.wikidata.org/entity/Q11803265>	Sir John Whittaker Ellis, 1st Baronet	<http://www.wikidata.org/entity/Q21084440>	23rd United Kingdom Parliament	<http://www.wikidata.org/entity/Q672633>	Kingston-upon-Thames	<http://www.wikidata.org/entity/Q9626>	Conservative Party	1885-11-24	<http://www.wikidata.org/entity/Q3397257>	1885 United Kingdom general election	1886-06-26	<http://www.wikidata.org/entity/Q741182>	dissolution of parliament
<http://www.wikidata.org/entity/Q11803680>	John Brinton	<http://www.wikidata.org/entity/Q21084440>	23rd United Kingdom Parliament	<http://www.wikidata.org/entity/Q11797258>	Kidderminster		nan	1885-11-24	<http://www.wikidata.org/entity/Q3397257>	1885 United Kingdom general election	1886-06-26	<http://www.wikidata.org/entity/Q741182>	dissolution of parliament
<http://www.wikidata.org/entity/Q11803853>	Sir John Ramsden, 5th Baronet	<http://www.wikidata.org/entity/Q21084440>	23rd United Kingdom Parliament	<http://www.wikidata.org/entity/Q7106525>	Osgoldcross		nan	1885-11-24	<http://www.wikidata.org/entity/Q3397257>	1885 United Kingdom general election	1886-06-26	<http://www.wikidata.org/entity/Q741182>	dissolution of parliament
<http://www.wikidata.org/entity/Q11806660>	Eugene Wason	<http://www.wikidata.org/entity/Q21084440>	23rd United Kingdom Parliament	<http://www.wikidata.org/entity/Q7566218>	South Ayrshire		nan	1885-11-24	<http://www.wikidata.org/entity/Q3397257>	1885 United Kingdom general election	1886-06-26	<http://www.wikidata.org/entity/Q741182>	dissolution of parliament
<http://www.wikidata.org/entity/Q11806930>	Robert Jardine	<http://www.wikidata.org/entity/Q21084440>	23rd United Kingdom Parliament	<http://www.wikidata.org/entity/Q5313811>	Dumfriesshire		nan	1885-11-24	<http://www.wikidata.org/entity/Q3397257>	1885 United Kingdom general election	1886-06-26	<http://www.wikidata.org/entity/Q741182>	dissolution of parliament
<http://www.wikidata.org/entity/Q12064625>	Thomas Power O'Connor	<http://www.wikidata.org/entity/Q21084440>	23rd United Kingdom Parliament	<http://www.wikidata.org/entity/Q5519475>	Galway Borough		nan	1885-11-24	<http://www.wikidata.org/entity/Q3397257>	1885 United Kingdom general election	1886-01-25	<http://www.wikidata.org/entity/Q50393121>	returned for another seat and chose to sit there
<http://www.wikidata.org/entity/Q12064625>	Thomas Power O'Connor	<http://www.wikidata.org/entity/Q21084440>	23rd United Kingdom Parliament	<http://www.wikidata.org/entity/Q6658555>	Liverpool Scotland		nan	1885-11-24	<http://www.wikidata.org/entity/Q3397257>	1885 United Kingdom general election	1886-06-26	<http://www.wikidata.org/entity/Q741182>	dissolution of parliament
<http://www.wikidata.org/entity/Q12072266>	Henry Vivian, 1st Baron Swansea	<http://www.wikidata.org/entity/Q21084440>	23rd United Kingdom Parliament	<http://www.wikidata.org/entity/Q7653679>	Swansea District		nan	1885-11-24	<http://www.wikidata.org/entity/Q3397257>	1885 United Kingdom general election	1886-06-26	<http://www.wikidata.org/entity/Q741182>	dissolution of parliament
<http://www.wikidata.org/entity/Q1217502>	Hugh Childers	<http://www.wikidata.org/entity/Q21084440>	23rd United Kingdom Parliament	<http://www.wikidata.org/entity/Q1070093>	Edinburgh South		nan	1886-01-29	<http://www.wikidata.org/entity/Q7864918>	UK Parliamentary by-election	1886-06-26	<http://www.wikidata.org/entity/Q741182>	dissolution of parliament
<http://www.wikidata.org/entity/Q1286201>	Edmund Dwyer Gray	<http://www.wikidata.org/entity/Q21084440>	23rd United Kingdom Parliament	<http://www.wikidata.org/entity/Q5042851>	Carlow County		nan	1885-11-24	<http://www.wikidata.org/entity/Q3397257>	1885 United Kingdom general election	1886-01-21	<http://www.wikidata.org/entity/Q50393121>	returned for another seat and chose to sit there
