mp_ref	mp	term_ref	term	constituency_ref	constituency	party_ref	party	start	election_ref	election	end	cause_ref	cause
<http://www.wikidata.org/entity/Q16910861>	James Stuart Rankin	<http://www.wikidata.org/entity/Q21084450>	33rd United Kingdom Parliament	<http://www.wikidata.org/entity/Q11797265>	Liverpool East Toxteth	<http://www.wikidata.org/entity/Q9626>	Conservative Party	1923-12-06	<http://www.wikidata.org/entity/Q3084294>	1923 United Kingdom general election	1924-10-09	<http://www.wikidata.org/entity/Q741182>	dissolution of parliament
<http://www.wikidata.org/entity/Q21545474>	Granville Wheler	<http://www.wikidata.org/entity/Q21084450>	33rd United Kingdom Parliament	<http://www.wikidata.org/entity/Q5438571>	Faversham	<http://www.wikidata.org/entity/Q9626>	Conservative Party	1923-12-06	<http://www.wikidata.org/entity/Q3084294>	1923 United Kingdom general election	1924-10-09	<http://www.wikidata.org/entity/Q741182>	dissolution of parliament
<http://www.wikidata.org/entity/Q26085498>	Walter Raine	<http://www.wikidata.org/entity/Q21084450>	33rd United Kingdom Parliament	<http://www.wikidata.org/entity/Q7639684>	Sunderland	<http://www.wikidata.org/entity/Q9626>	Conservative Party	1923-12-06	<http://www.wikidata.org/entity/Q3084294>	1923 United Kingdom general election	1924-10-09	<http://www.wikidata.org/entity/Q741182>	dissolution of parliament
<http://www.wikidata.org/entity/Q26252273>	Robert Waddington	<http://www.wikidata.org/entity/Q21084450>	33rd United Kingdom Parliament	<http://www.wikidata.org/entity/Q7369780>	Rossendale	<http://www.wikidata.org/entity/Q9626>	Conservative Party	1923-12-06	<http://www.wikidata.org/entity/Q3084294>	1923 United Kingdom general election	1924-10-09	<http://www.wikidata.org/entity/Q741182>	dissolution of parliament
<http://www.wikidata.org/entity/Q26267764>	Alfred Davies	<http://www.wikidata.org/entity/Q21084450>	33rd United Kingdom Parliament	<http://www.wikidata.org/entity/Q1077604>	Lincoln	<http://www.wikidata.org/entity/Q9626>	Conservative Party	1923-12-06	<http://www.wikidata.org/entity/Q3084294>	1923 United Kingdom general election	1924-10-09	<http://www.wikidata.org/entity/Q741182>	dissolution of parliament
<http://www.wikidata.org/entity/Q26719032>	Percy Gates	<http://www.wikidata.org/entity/Q21084450>	33rd United Kingdom Parliament	<http://www.wikidata.org/entity/Q16851951>	Kensington North	<http://www.wikidata.org/entity/Q9626>	Conservative Party	1923-12-06	<http://www.wikidata.org/entity/Q3084294>	1923 United Kingdom general election	1924-10-09	<http://www.wikidata.org/entity/Q741182>	dissolution of parliament
<http://www.wikidata.org/entity/Q26732776>	John Burman	<http://www.wikidata.org/entity/Q21084450>	33rd United Kingdom Parliament	<http://www.wikidata.org/entity/Q4916683>	Birmingham Duddeston	<http://www.wikidata.org/entity/Q9626>	Conservative Party	1923-12-06	<http://www.wikidata.org/entity/Q3084294>	1923 United Kingdom general election	1924-10-09	<http://www.wikidata.org/entity/Q741182>	dissolution of parliament
<http://www.wikidata.org/entity/Q1063662>	Malcolm Barclay-Harvey	<http://www.wikidata.org/entity/Q21084450>	33rd United Kingdom Parliament	<http://www.wikidata.org/entity/Q6410461>	Kincardine and Western Aberdeenshire	<http://www.wikidata.org/entity/Q9626>	Conservative Party	1923-12-06	<http://www.wikidata.org/entity/Q3084294>	1923 United Kingdom general election	1924-10-09	<http://www.wikidata.org/entity/Q741182>	dissolution of parliament
<http://www.wikidata.org/entity/Q11327314>	Herbert Wragg	<http://www.wikidata.org/entity/Q21084450>	33rd United Kingdom Parliament	<http://www.wikidata.org/entity/Q4884651>	Belper	<http://www.wikidata.org/entity/Q9626>	Conservative Party	1923-12-06	<http://www.wikidata.org/entity/Q3084294>	1923 United Kingdom general election	1924-10-09	<http://www.wikidata.org/entity/Q741182>	dissolution of parliament
<http://www.wikidata.org/entity/Q1179483>	John Frederick Peel Rawlinson	<http://www.wikidata.org/entity/Q21084450>	33rd United Kingdom Parliament	<http://www.wikidata.org/entity/Q5025572>	Cambridge University	<http://www.wikidata.org/entity/Q9626>	Conservative Party	1923-12-06	<http://www.wikidata.org/entity/Q3084294>	1923 United Kingdom general election	1924-10-09	<http://www.wikidata.org/entity/Q741182>	dissolution of parliament
<http://www.wikidata.org/entity/Q11802543>	Henry Brassey, 1st Baron Brassey of Apethorpe	<http://www.wikidata.org/entity/Q21084450>	33rd United Kingdom Parliament	<http://www.wikidata.org/entity/Q1050650>	Peterborough	<http://www.wikidata.org/entity/Q9626>	Conservative Party	1923-12-06	<http://www.wikidata.org/entity/Q3084294>	1923 United Kingdom general election	1924-10-09	<http://www.wikidata.org/entity/Q741182>	dissolution of parliament
<http://www.wikidata.org/entity/Q11998073>	Robert Bourne	<http://www.wikidata.org/entity/Q21084450>	33rd United Kingdom Parliament	<http://www.wikidata.org/entity/Q7115222>	Oxford	<http://www.wikidata.org/entity/Q9626>	Conservative Party	1924-06-05	<http://www.wikidata.org/entity/Q7115564>	1924 Oxford by-election	1924-10-09	<http://www.wikidata.org/entity/Q741182>	dissolution of parliament
<http://www.wikidata.org/entity/Q1241117>	Eustace Percy, 1st Baron Percy of Newcastle	<http://www.wikidata.org/entity/Q21084450>	33rd United Kingdom Parliament	<http://www.wikidata.org/entity/Q5680260>	Hastings	<http://www.wikidata.org/entity/Q9626>	Conservative Party	1923-12-06	<http://www.wikidata.org/entity/Q3084294>	1923 United Kingdom general election	1924-10-09	<http://www.wikidata.org/entity/Q741182>	dissolution of parliament
<http://www.wikidata.org/entity/Q128995>	Anthony Eden	<http://www.wikidata.org/entity/Q21084450>	33rd United Kingdom Parliament	<http://www.wikidata.org/entity/Q874946>	Warwick and Leamington	<http://www.wikidata.org/entity/Q9626>	Conservative Party	1923-12-06	<http://www.wikidata.org/entity/Q3084294>	1923 United Kingdom general election	1924-10-09	<http://www.wikidata.org/entity/Q741182>	dissolution of parliament
<http://www.wikidata.org/entity/Q13441368>	Stanley Johnson	<http://www.wikidata.org/entity/Q21084450>	33rd United Kingdom Parliament	<http://www.wikidata.org/entity/Q11797290>	Walthamstow East	<http://www.wikidata.org/entity/Q9626>	Conservative Party	1923-12-06	<http://www.wikidata.org/entity/Q3084294>	1923 United Kingdom general election	1924-10-09	<http://www.wikidata.org/entity/Q741182>	dissolution of parliament
<http://www.wikidata.org/entity/Q13529783>	Wilfrid Ashley, 1st Baron Mount Temple	<http://www.wikidata.org/entity/Q21084450>	33rd United Kingdom Parliament	<http://www.wikidata.org/entity/Q16998724>	New Forest and Christchurch	<http://www.wikidata.org/entity/Q9626>	Conservative Party	1923-12-06	<http://www.wikidata.org/entity/Q3084294>	1923 United Kingdom general election	1924-10-09	<http://www.wikidata.org/entity/Q741182>	dissolution of parliament
<http://www.wikidata.org/entity/Q13529838>	Harry Barnston	<http://www.wikidata.org/entity/Q21084450>	33rd United Kingdom Parliament	<http://www.wikidata.org/entity/Q43291129>	Eddisbury	<http://www.wikidata.org/entity/Q9626>	Conservative Party	1923-12-06	<http://www.wikidata.org/entity/Q3084294>	1923 United Kingdom general election	1924-10-09	<http://www.wikidata.org/entity/Q741182>	dissolution of parliament
<http://www.wikidata.org/entity/Q13529856>	Henry Buckingham	<http://www.wikidata.org/entity/Q21084450>	33rd United Kingdom Parliament	<http://www.wikidata.org/entity/Q1087870>	Guildford	<http://www.wikidata.org/entity/Q9626>	Conservative Party	1923-12-06	<http://www.wikidata.org/entity/Q3084294>	1923 United Kingdom general election	1924-10-09	<http://www.wikidata.org/entity/Q741182>	dissolution of parliament
<http://www.wikidata.org/entity/Q13529880>	Jack Cohen	<http://www.wikidata.org/entity/Q21084450>	33rd United Kingdom Parliament	<http://www.wikidata.org/entity/Q16992011>	Liverpool Fairfield	<http://www.wikidata.org/entity/Q9626>	Conservative Party	1923-12-06	<http://www.wikidata.org/entity/Q3084294>	1923 United Kingdom general election	1924-10-09	<http://www.wikidata.org/entity/Q741182>	dissolution of parliament
<http://www.wikidata.org/entity/Q13529894>	James Erskine	<http://www.wikidata.org/entity/Q21084450>	33rd United Kingdom Parliament	<http://www.wikidata.org/entity/Q7989218>	Westminster St George's	<http://www.wikidata.org/entity/Q9626>	Conservative Party	1923-12-06	<http://www.wikidata.org/entity/Q3084294>	1923 United Kingdom general election	1924-10-09	<http://www.wikidata.org/entity/Q741182>	dissolution of parliament
<http://www.wikidata.org/entity/Q13529902>	Francis Fremantle	<http://www.wikidata.org/entity/Q21084450>	33rd United Kingdom Parliament	<http://www.wikidata.org/entity/Q988569>	St Albans	<http://www.wikidata.org/entity/Q9626>	Conservative Party	1923-12-06	<http://www.wikidata.org/entity/Q3084294>	1923 United Kingdom general election	1924-10-09	<http://www.wikidata.org/entity/Q741182>	dissolution of parliament
<http://www.wikidata.org/entity/Q13529926>	Patrick Hannon	<http://www.wikidata.org/entity/Q21084450>	33rd United Kingdom Parliament	<http://www.wikidata.org/entity/Q4916756>	Birmingham Moseley	<http://www.wikidata.org/entity/Q9626>	Conservative Party	1923-12-06	<http://www.wikidata.org/entity/Q3084294>	1923 United Kingdom general election	1924-10-09	<http://www.wikidata.org/entity/Q741182>	dissolution of parliament
<http://www.wikidata.org/entity/Q13529963>	Joseph Lamb	<http://www.wikidata.org/entity/Q21084450>	33rd United Kingdom Parliament	<http://www.wikidata.org/entity/Q43287479>	Stone	<http://www.wikidata.org/entity/Q9626>	Conservative Party	1923-12-06	<http://www.wikidata.org/entity/Q3084294>	1923 United Kingdom general election	1924-10-09	<http://www.wikidata.org/entity/Q741182>	dissolution of parliament
<http://www.wikidata.org/entity/Q13529973>	Godfrey Locker-Lampson	<http://www.wikidata.org/entity/Q21084450>	33rd United Kingdom Parliament	<http://www.wikidata.org/entity/Q8032204>	Wood Green	<http://www.wikidata.org/entity/Q9626>	Conservative Party	1923-12-06	<http://www.wikidata.org/entity/Q3084294>	1923 United Kingdom general election	1924-10-09	<http://www.wikidata.org/entity/Q741182>	dissolution of parliament
