mp_ref	mp	term_ref	term	constituency_ref	constituency	party_ref	party	start	election_ref	election	end	cause_ref	cause
<http://www.wikidata.org/entity/Q1052366>	Cecil Walker	<http://www.wikidata.org/entity/Q21084467>	50th United Kingdom Parliament	<http://www.wikidata.org/entity/Q751580>	Belfast North	<http://www.wikidata.org/entity/Q841045>	Ulster Unionist Party	1987-06-11	<http://www.wikidata.org/entity/Q918472>	1987 United Kingdom general election	1992-03-16	<http://www.wikidata.org/entity/Q741182>	dissolution of parliament
<http://www.wikidata.org/entity/Q10985643>	Humfrey Malins	<http://www.wikidata.org/entity/Q21084467>	50th United Kingdom Parliament	<http://www.wikidata.org/entity/Q5189685>	Croydon North West	<http://www.wikidata.org/entity/Q9626>	Conservative Party	1987-06-11	<http://www.wikidata.org/entity/Q918472>	1987 United Kingdom general election	1992-03-16	<http://www.wikidata.org/entity/Q741182>	dissolution of parliament
<http://www.wikidata.org/entity/Q1101999>	Clive Soley, Baron Soley	<http://www.wikidata.org/entity/Q21084467>	50th United Kingdom Parliament	<http://www.wikidata.org/entity/Q42112330>	Hammersmith	<http://www.wikidata.org/entity/Q9630>	Labour Party	1987-06-11	<http://www.wikidata.org/entity/Q918472>	1987 United Kingdom general election	1992-03-16	<http://www.wikidata.org/entity/Q741182>	dissolution of parliament
<http://www.wikidata.org/entity/Q11154675>	Ian Taylor	<http://www.wikidata.org/entity/Q21084467>	50th United Kingdom Parliament	<http://www.wikidata.org/entity/Q15216802>	Esher	<http://www.wikidata.org/entity/Q9626>	Conservative Party	1987-06-11	<http://www.wikidata.org/entity/Q918472>	1987 United Kingdom general election	1992-03-16	<http://www.wikidata.org/entity/Q741182>	dissolution of parliament
<http://www.wikidata.org/entity/Q1157836>	Dale Campbell-Savours, Baron Campbell-Savours	<http://www.wikidata.org/entity/Q21084467>	50th United Kingdom Parliament	<http://www.wikidata.org/entity/Q873994>	Workington	<http://www.wikidata.org/entity/Q9630>	Labour Party	1987-06-11	<http://www.wikidata.org/entity/Q918472>	1987 United Kingdom general election	1992-03-16	<http://www.wikidata.org/entity/Q741182>	dissolution of parliament
<http://www.wikidata.org/entity/Q1173562>	David Alton, Baron Alton of Liverpool	<http://www.wikidata.org/entity/Q21084467>	50th United Kingdom Parliament	<http://www.wikidata.org/entity/Q6658511>	Liverpool Mossley Hill	<http://www.wikidata.org/entity/Q622441>	Liberal Party	1987-06-11	<http://www.wikidata.org/entity/Q918472>	1987 United Kingdom general election	1988-03-08	<http://www.wikidata.org/entity/Q52084306>	SDP-Liberal merger
<http://www.wikidata.org/entity/Q1173562>	David Alton, Baron Alton of Liverpool	<http://www.wikidata.org/entity/Q21084467>	50th United Kingdom Parliament	<http://www.wikidata.org/entity/Q6658511>	Liverpool Mossley Hill	<http://www.wikidata.org/entity/Q9624>	Liberal Democrats	1988-03-08		nan	1992-03-16	<http://www.wikidata.org/entity/Q741182>	dissolution of parliament
<http://www.wikidata.org/entity/Q1175443>	David Maclean	<http://www.wikidata.org/entity/Q21084467>	50th United Kingdom Parliament	<http://www.wikidata.org/entity/Q1050693>	Penrith and The Border	<http://www.wikidata.org/entity/Q9626>	Conservative Party	1987-06-11	<http://www.wikidata.org/entity/Q918472>	1987 United Kingdom general election	1992-03-16	<http://www.wikidata.org/entity/Q741182>	dissolution of parliament
<http://www.wikidata.org/entity/Q11806772>	Harry Ewing, Baron Ewing of Kirkford	<http://www.wikidata.org/entity/Q21084467>	50th United Kingdom Parliament	<http://www.wikidata.org/entity/Q5431933>	Falkirk East	<http://www.wikidata.org/entity/Q9630>	Labour Party	1987-06-11	<http://www.wikidata.org/entity/Q918472>	1987 United Kingdom general election	1992-03-16	<http://www.wikidata.org/entity/Q741182>	dissolution of parliament
<http://www.wikidata.org/entity/Q11866745>	John Heddle	<http://www.wikidata.org/entity/Q21084467>	50th United Kingdom Parliament	<http://www.wikidata.org/entity/Q6841003>	Mid Staffordshire	<http://www.wikidata.org/entity/Q9626>	Conservative Party	1987-06-11	<http://www.wikidata.org/entity/Q918472>	1987 United Kingdom general election	1989-12-19	<http://www.wikidata.org/entity/Q5247364>	death in office
<http://www.wikidata.org/entity/Q1189028>	Dennis Canavan	<http://www.wikidata.org/entity/Q21084467>	50th United Kingdom Parliament	<http://www.wikidata.org/entity/Q5431944>	Falkirk West	<http://www.wikidata.org/entity/Q9630>	Labour Party	1987-06-11	<http://www.wikidata.org/entity/Q918472>	1987 United Kingdom general election	1992-03-16	<http://www.wikidata.org/entity/Q741182>	dissolution of parliament
<http://www.wikidata.org/entity/Q1189567>	Dennis Turner, Baron Bilston	<http://www.wikidata.org/entity/Q21084467>	50th United Kingdom Parliament	<http://www.wikidata.org/entity/Q874069>	Wolverhampton South East	<http://www.wikidata.org/entity/Q6467393>	Labour Co-operative	1987-06-11	<http://www.wikidata.org/entity/Q918472>	1987 United Kingdom general election	1992-03-16	<http://www.wikidata.org/entity/Q741182>	dissolution of parliament
<http://www.wikidata.org/entity/Q1200029>	Derek Foster, Baron Foster of Bishop Auckland	<http://www.wikidata.org/entity/Q21084467>	50th United Kingdom Parliament	<http://www.wikidata.org/entity/Q1072667>	Bishop Auckland	<http://www.wikidata.org/entity/Q9630>	Labour Party	1987-06-11	<http://www.wikidata.org/entity/Q918472>	1987 United Kingdom general election	1992-03-16	<http://www.wikidata.org/entity/Q741182>	dissolution of parliament
<http://www.wikidata.org/entity/Q1228567>	Alan Howarth, Baron Howarth of Newport	<http://www.wikidata.org/entity/Q21084467>	50th United Kingdom Parliament	<http://www.wikidata.org/entity/Q740118>	Stratford-on-Avon	<http://www.wikidata.org/entity/Q9626>	Conservative Party	1987-06-11	<http://www.wikidata.org/entity/Q918472>	1987 United Kingdom general election	1992-03-16	<http://www.wikidata.org/entity/Q741182>	dissolution of parliament
<http://www.wikidata.org/entity/Q12731310>	James Hill	<http://www.wikidata.org/entity/Q21084467>	50th United Kingdom Parliament	<http://www.wikidata.org/entity/Q988615>	Southampton Test	<http://www.wikidata.org/entity/Q9626>	Conservative Party	1987-06-11	<http://www.wikidata.org/entity/Q918472>	1987 United Kingdom general election	1992-03-16	<http://www.wikidata.org/entity/Q741182>	dissolution of parliament
<http://www.wikidata.org/entity/Q12731414>	John Mark Taylor	<http://www.wikidata.org/entity/Q21084467>	50th United Kingdom Parliament	<http://www.wikidata.org/entity/Q989027>	Solihull	<http://www.wikidata.org/entity/Q9626>	Conservative Party	1987-06-11	<http://www.wikidata.org/entity/Q918472>	1987 United Kingdom general election	1992-03-16	<http://www.wikidata.org/entity/Q741182>	dissolution of parliament
<http://www.wikidata.org/entity/Q128967>	Edward Heath	<http://www.wikidata.org/entity/Q21084467>	50th United Kingdom Parliament	<http://www.wikidata.org/entity/Q1050985>	Old Bexley and Sidcup	<http://www.wikidata.org/entity/Q9626>	Conservative Party	1987-06-11	<http://www.wikidata.org/entity/Q918472>	1987 United Kingdom general election	1992-03-16	<http://www.wikidata.org/entity/Q741182>	dissolution of parliament
<http://www.wikidata.org/entity/Q12899736>	Teddy Taylor	<http://www.wikidata.org/entity/Q21084467>	50th United Kingdom Parliament	<http://www.wikidata.org/entity/Q7569538>	Southend East	<http://www.wikidata.org/entity/Q9626>	Conservative Party	1987-06-11	<http://www.wikidata.org/entity/Q918472>	1987 United Kingdom general election	1992-03-16	<http://www.wikidata.org/entity/Q741182>	dissolution of parliament
<http://www.wikidata.org/entity/Q129679>	Colin Moynihan, 4th Baron Moynihan	<http://www.wikidata.org/entity/Q21084467>	50th United Kingdom Parliament	<http://www.wikidata.org/entity/Q3336099>	Lewisham East	<http://www.wikidata.org/entity/Q9626>	Conservative Party	1987-06-11	<http://www.wikidata.org/entity/Q918472>	1987 United Kingdom general election	1992-03-16	<http://www.wikidata.org/entity/Q741182>	dissolution of parliament
