?item	?itemLabel	?term	?termLabel	?constituency	?constituencyLabel	?party	?partyLabel	?start	?election	?electionLabel	?end	?cause	?causeLabel
<http://www.wikidata.org/entity/Q106618>	"Henry Campbell-Bannerman"@en	<http://www.wikidata.org/entity/Q21084445>	"28th United Kingdom Parliament"@en	<http://www.wikidata.org/entity/Q7617564>	"Stirling Burghs"@en	<http://www.wikidata.org/entity/Q622441>	"Liberal Party"@en	"1906-01-12T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q3076606>	"1906 United Kingdom general election"@en	"1908-04-22T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q5247364>	"death in office"@en
<http://www.wikidata.org/entity/Q11727985>	"John Sinclair, 1st Baron Pentland"@en	<http://www.wikidata.org/entity/Q21084445>	"28th United Kingdom Parliament"@en	<http://www.wikidata.org/entity/Q5469523>	"Forfarshire"@en			"1906-01-12T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q3076606>	"1906 United Kingdom general election"@en	"1909-02-10T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q796919>	"resignation"@en
<http://www.wikidata.org/entity/Q1179483>	"John Frederick Peel Rawlinson"@en	<http://www.wikidata.org/entity/Q21084445>	"28th United Kingdom Parliament"@en	<http://www.wikidata.org/entity/Q5025572>	"Cambridge University"@en	<http://www.wikidata.org/entity/Q9626>	"Conservative Party"@en	"1906-01-12T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q3076606>	"1906 United Kingdom general election"@en	"1910-01-10T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q741182>	"dissolution of parliament"@en
<http://www.wikidata.org/entity/Q11800794>	"James Tomkinson"@en	<http://www.wikidata.org/entity/Q21084445>	"28th United Kingdom Parliament"@en	<http://www.wikidata.org/entity/Q5184814>	"Crewe"@en			"1906-01-12T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q3076606>	"1906 United Kingdom general election"@en	"1910-01-10T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q741182>	"dissolution of parliament"@en
<http://www.wikidata.org/entity/Q11806660>	"Eugene Wason"@en	<http://www.wikidata.org/entity/Q21084445>	"28th United Kingdom Parliament"@en	<http://www.wikidata.org/entity/Q5124900>	"Clackmannanshire and Kinross-shire"@en			"1906-01-12T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q3076606>	"1906 United Kingdom general election"@en	"1910-01-10T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q741182>	"dissolution of parliament"@en
<http://www.wikidata.org/entity/Q12064625>	"Thomas Power O'Connor"@en	<http://www.wikidata.org/entity/Q21084445>	"28th United Kingdom Parliament"@en	<http://www.wikidata.org/entity/Q6658555>	"Liverpool Scotland"@en			"1906-01-12T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q3076606>	"1906 United Kingdom general election"@en	"1910-01-10T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q741182>	"dissolution of parliament"@en
<http://www.wikidata.org/entity/Q12356771>	"Will Thorne"@en	<http://www.wikidata.org/entity/Q21084445>	"28th United Kingdom Parliament"@en	<http://www.wikidata.org/entity/Q42122454>	"West Ham South"@en	<http://www.wikidata.org/entity/Q9630>	"Labour Party"@en	"1906-01-12T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q3076606>	"1906 United Kingdom general election"@en	"1910-01-10T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q741182>	"dissolution of parliament"@en
<http://www.wikidata.org/entity/Q13426124>	"Aretas Akers-Douglas, 1st Viscount Chilston"@en	<http://www.wikidata.org/entity/Q21084445>	"28th United Kingdom Parliament"@en	<http://www.wikidata.org/entity/Q7592531>	"St Augustine's"@en	<http://www.wikidata.org/entity/Q9626>	"Conservative Party"@en	"1906-01-12T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q3076606>	"1906 United Kingdom general election"@en	"1910-01-10T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q741182>	"dissolution of parliament"@en
<http://www.wikidata.org/entity/Q134982>	"David Lloyd George"@en	<http://www.wikidata.org/entity/Q21084445>	"28th United Kingdom Parliament"@en	<http://www.wikidata.org/entity/Q3399026>	"Caernarfon"@en	<http://www.wikidata.org/entity/Q622441>	"Liberal Party"@en	"1906-01-12T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q3076606>	"1906 United Kingdom general election"@en	"1910-01-10T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q741182>	"dissolution of parliament"@en
<http://www.wikidata.org/entity/Q13529783>	"Wilfrid Ashley, 1st Baron Mount Temple"@en	<http://www.wikidata.org/entity/Q21084445>	"28th United Kingdom Parliament"@en	<http://www.wikidata.org/entity/Q4923237>	"Blackpool"@en	<http://www.wikidata.org/entity/Q9626>	"Conservative Party"@en	"1906-01-12T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q3076606>	"1906 United Kingdom general election"@en	"1910-01-10T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q741182>	"dissolution of parliament"@en
