?item	?itemLabel	?term	?termLabel	?constituency	?constituencyLabel	?party	?partyLabel	?start	?election	?electionLabel	?end	?cause	?causeLabel
<http://www.wikidata.org/entity/Q1052366>	"Cecil Walker"@en	<http://www.wikidata.org/entity/Q21084466>	"49th United Kingdom Parliament"@en	<http://www.wikidata.org/entity/Q751580>	"Belfast North"@en	<http://www.wikidata.org/entity/Q841045>	"Ulster Unionist Party"@en	"1983-06-09T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q918466>	"1983 United Kingdom general election"@en	"1985-12-17T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q796919>	"resignation"@en
<http://www.wikidata.org/entity/Q1052366>	"Cecil Walker"@en	<http://www.wikidata.org/entity/Q21084466>	"49th United Kingdom Parliament"@en	<http://www.wikidata.org/entity/Q751580>	"Belfast North"@en	<http://www.wikidata.org/entity/Q841045>	"Ulster Unionist Party"@en	"1986-01-23T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q20979150>	"1986 Belfast North by-election"@en	"1987-05-18T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q741182>	"dissolution of parliament"@en
<http://www.wikidata.org/entity/Q10985643>	"Humfrey Malins"@en	<http://www.wikidata.org/entity/Q21084466>	"49th United Kingdom Parliament"@en	<http://www.wikidata.org/entity/Q5189685>	"Croydon North West"@en	<http://www.wikidata.org/entity/Q9626>	"Conservative Party"@en	"1983-06-09T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q918466>	"1983 United Kingdom general election"@en	"1987-05-18T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q741182>	"dissolution of parliament"@en
<http://www.wikidata.org/entity/Q1101999>	"Clive Soley, Baron Soley"@en	<http://www.wikidata.org/entity/Q21084466>	"49th United Kingdom Parliament"@en	<http://www.wikidata.org/entity/Q42112330>	"Hammersmith"@en	<http://www.wikidata.org/entity/Q9630>	"Labour Party"@en	"1983-06-09T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q918466>	"1983 United Kingdom general election"@en	"1987-05-18T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q741182>	"dissolution of parliament"@en
<http://www.wikidata.org/entity/Q1157836>	"Dale Campbell-Savours, Baron Campbell-Savours"@en	<http://www.wikidata.org/entity/Q21084466>	"49th United Kingdom Parliament"@en	<http://www.wikidata.org/entity/Q873994>	"Workington"@en	<http://www.wikidata.org/entity/Q9630>	"Labour Party"@en	"1983-06-09T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q918466>	"1983 United Kingdom general election"@en	"1987-05-18T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q741182>	"dissolution of parliament"@en
<http://www.wikidata.org/entity/Q1173562>	"David Alton, Baron Alton of Liverpool"@en	<http://www.wikidata.org/entity/Q21084466>	"49th United Kingdom Parliament"@en	<http://www.wikidata.org/entity/Q6658511>	"Liverpool Mossley Hill"@en	<http://www.wikidata.org/entity/Q622441>	"Liberal Party"@en	"1983-06-09T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q918466>	"1983 United Kingdom general election"@en	"1987-05-18T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q741182>	"dissolution of parliament"@en
<http://www.wikidata.org/entity/Q1175443>	"David Maclean"@en	<http://www.wikidata.org/entity/Q21084466>	"49th United Kingdom Parliament"@en	<http://www.wikidata.org/entity/Q1050693>	"Penrith and The Border"@en	<http://www.wikidata.org/entity/Q9626>	"Conservative Party"@en	"1983-07-28T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q7864918>	"UK Parliamentary by-election"@en	"1987-05-18T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q741182>	"dissolution of parliament"@en
<http://www.wikidata.org/entity/Q11806772>	"Harry Ewing, Baron Ewing of Kirkford"@en	<http://www.wikidata.org/entity/Q21084466>	"49th United Kingdom Parliament"@en	<http://www.wikidata.org/entity/Q5431933>	"Falkirk East"@en	<http://www.wikidata.org/entity/Q9630>	"Labour Party"@en	"1983-06-09T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q918466>	"1983 United Kingdom general election"@en	"1987-05-18T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q741182>	"dissolution of parliament"@en
<http://www.wikidata.org/entity/Q11866745>	"John Heddle"@en	<http://www.wikidata.org/entity/Q21084466>	"49th United Kingdom Parliament"@en	<http://www.wikidata.org/entity/Q6841003>	"Mid Staffordshire"@en	<http://www.wikidata.org/entity/Q9626>	"Conservative Party"@en	"1983-06-09T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q918466>	"1983 United Kingdom general election"@en	"1987-05-18T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q741182>	"dissolution of parliament"@en
<http://www.wikidata.org/entity/Q1189028>	"Dennis Canavan"@en	<http://www.wikidata.org/entity/Q21084466>	"49th United Kingdom Parliament"@en	<http://www.wikidata.org/entity/Q5431944>	"Falkirk West"@en	<http://www.wikidata.org/entity/Q9630>	"Labour Party"@en	"1983-06-09T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q918466>	"1983 United Kingdom general election"@en	"1987-05-18T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q741182>	"dissolution of parliament"@en
<http://www.wikidata.org/entity/Q11902279>	"Warren Hawksley"@en	<http://www.wikidata.org/entity/Q21084466>	"49th United Kingdom Parliament"@en	<http://www.wikidata.org/entity/Q987915>	"The Wrekin"@en	<http://www.wikidata.org/entity/Q9626>	"Conservative Party"@en	"1983-06-09T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q918466>	"1983 United Kingdom general election"@en	"1987-05-18T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q741182>	"dissolution of parliament"@en
<http://www.wikidata.org/entity/Q1200029>	"Derek Foster, Baron Foster of Bishop Auckland"@en	<http://www.wikidata.org/entity/Q21084466>	"49th United Kingdom Parliament"@en	<http://www.wikidata.org/entity/Q1072667>	"Bishop Auckland"@en	<http://www.wikidata.org/entity/Q9630>	"Labour Party"@en	"1983-06-09T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q918466>	"1983 United Kingdom general election"@en	"1987-05-18T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q741182>	"dissolution of parliament"@en
<http://www.wikidata.org/entity/Q1228567>	"Alan Howarth, Baron Howarth of Newport"@en	<http://www.wikidata.org/entity/Q21084466>	"49th United Kingdom Parliament"@en	<http://www.wikidata.org/entity/Q740118>	"Stratford-on-Avon"@en	<http://www.wikidata.org/entity/Q9626>	"Conservative Party"@en	"1983-06-09T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q918466>	"1983 United Kingdom general election"@en	"1987-05-18T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q741182>	"dissolution of parliament"@en
